DEPT,PS,PZ,GK,NGK,DS,LIT
720.0,58.05,12.0,1.765,1.936,0.214,53
720.2,56.78,12.5,1.688,1.897,0.214,53
720.4,54.73,13.5,2.762,1.744,0.214,53
720.6,51.15,14.4,3.12,1.602,0.214,53
720.8,47.06,15.6,2.506,1.648,0.214,53
721.0,43.22,17.4,2.148,1.656,0.215,53
721.2,37.59,19.4,1.969,1.698,0.215,53
721.4,35.04,21.1,1.739,1.771,0.214,53
721.6,32.22,21.2,1.995,1.886,0.213,53
721.8,30.18,19.6,2.148,1.94,0.213,53
722.0,28.39,17.6,2.43,1.809,0.213,53
722.2,27.11,15.6,2.046,1.606,0.212,53
722.4,25.83,14.2,2.455,1.429,0.21,53
722.6,25.57,13.8,3.146,1.199,0.207,53
722.8,25.32,15.3,3.325,1.157,0.207,53
723.0,25.83,19.3,2.839,1.176,0.207,53
723.2,26.6,23.7,2.941,1.165,0.206,53
723.4,27.88,29.8,2.915,1.149,0.207,53
723.6,28.9,33.2,3.12,1.207,0.207,53
723.8,30.43,37.7,3.785,1.249,0.207,53
724.0,32.99,38.9,3.453,1.341,0.207,53
724.2,32.99,40.4,3.12,1.341,0.208,53
724.4,34.78,40.4,3.478,1.287,0.208,53
724.6,36.31,40.4,3.299,1.333,0.208,53
724.8,38.36,40.4,2.967,1.406,0.209,53
725.0,39.38,40.3,3.018,1.395,0.209,53
725.2,40.15,40.4,2.634,1.452,0.21,53
725.4,40.41,40.4,2.583,1.587,0.213,53
725.6,39.64,40.4,2.788,1.598,0.218,53
725.8,39.38,40.2,2.941,1.525,0.217,53
726.0,38.87,37.7,3.376,1.502,0.217,53
726.2,38.87,34.1,3.376,1.41,0.218,53
726.4,39.13,30.6,2.967,1.326,0.219,53
726.6,39.38,26.6,2.66,1.341,0.219,53
726.8,39.9,22.1,2.736,1.403,0.22,53
727.0,40.66,18.4,2.609,1.56,0.221,53
727.2,41.43,15.5,2.864,1.675,0.221,53
727.4,42.45,12.7,2.864,1.694,0.221,53
727.6,43.99,10.1,2.685,1.564,0.22,53
727.8,45.27,9.8,2.967,1.472,0.22,53
728.0,46.03,6.3,3.069,1.387,0.22,53
728.2,47.06,5.5,3.197,1.491,0.221,53
728.4,47.57,4.7,3.708,1.364,0.221,53
728.6,48.59,4.5,3.862,1.249,0.222,53
728.8,49.87,4.3,3.657,1.238,0.222,53
729.0,52.43,4.5,3.58,1.299,0.223,53
729.2,56.78,4.6,4.117,1.38,0.221,53
729.4,60.35,4.6,4.68,1.468,0.22,53
729.6,62.91,4.7,4.271,1.606,0.218,53
729.8,63.94,4.7,3.555,1.617,0.217,53
730.0,63.94,5.2,3.274,1.591,0.216,53
730.2,59.59,5.1,3.299,1.637,0.217,53
730.4,57.03,5.6,2.762,1.725,0.218,53
730.6,55.75,5.9,2.097,1.84,0.218,53
730.8,54.47,6.5,1.79,1.943,0.218,53
731.0,53.19,6.5,1.944,1.905,0.216,53
731.2,52.17,6.9,1.841,1.855,0.215,53
731.4,50.13,7.2,1.688,1.801,0.215,53
731.6,49.87,7.2,1.969,1.801,0.215,53
731.8,49.1,7.4,2.199,1.867,0.216,53
732.0,48.08,7.5,2.123,1.782,0.217,53
732.2,46.54,7.8,2.225,1.702,0.218,53
732.4,43.99,8.1,2.762,1.671,0.218,53
732.6,41.69,8.8,3.197,1.679,0.217,53
732.8,38.62,9.5,3.018,1.667,0.216,53
733.0,37.59,10.7,2.481,1.629,0.216,53
733.2,36.83,12.8,2.097,1.548,0.216,53
733.4,38.87,15.3,2.302,1.594,0.215,53
733.6,45.52,18.5,2.532,1.633,0.215,53
733.8,53.71,21.2,2.736,1.771,0.215,53
734.0,61.38,23.5,3.248,1.897,0.215,53
734.2,66.49,22.2,2.864,1.997,0.215,53
734.4,70.58,22.2,2.404,2.078,0.216,53
734.6,72.63,20.6,2.89,2.02,0.217,53
734.8,71.61,19.1,3.606,1.936,0.216,53
735.0,69.82,17.4,3.938,1.836,0.215,53
735.2,65.21,16.4,3.478,1.84,0.215,53
735.4,61.63,16.0,3.069,1.848,0.216,53
735.6,58.31,16.0,2.685,1.844,0.217,53
735.8,56.52,16.8,2.813,1.871,0.217,53
736.0,54.99,17.9,2.506,1.897,0.217,133
736.2,53.71,19.9,2.072,1.917,0.216,133
736.4,51.66,22.8,1.969,2.001,0.217,133
736.6,48.33,26.9,1.816,2.012,0.218,133
736.8,45.01,32.7,2.046,2.028,0.216,133
737.0,42.2,34.5,2.072,1.801,0.215,133
737.2,37.59,31.2,2.634,1.598,0.214,53
737.4,36.83,28.0,3.632,1.38,0.215,53
737.6,34.01,24.0,3.657,1.226,0.213,53
737.8,31.97,19.4,2.864,1.215,0.213,53
738.0,30.69,14.8,2.992,1.138,0.215,53
738.2,28.9,10.6,3.401,1.046,0.216,53
738.4,27.62,8.6,2.839,0.984,0.218,53
738.6,28.9,6.6,2.992,1.015,0.218,53
738.8,31.71,4.6,2.532,1.092,0.219,53
739.0,36.31,4.6,2.864,1.146,0.22,53
739.2,44.5,4.9,2.992,1.199,0.22,53
739.4,50.89,5.1,2.404,1.395,0.221,53
739.6,57.29,5.5,2.557,1.587,0.221,53
739.8,61.89,6.0,2.532,1.683,0.22,53
740.0,64.96,6.8,2.609,1.441,0.218,53
740.2,67.52,7.5,3.222,1.372,0.22,53
740.4,69.31,8.2,3.401,1.544,0.221,53
740.6,69.56,8.8,2.583,1.637,0.222,53
740.8,68.54,9.7,2.481,1.817,0.22,53
741.0,66.75,10.5,2.762,1.894,0.219,53
741.2,63.42,10.9,2.251,1.832,0.22,53
741.4,59.84,10.7,2.123,1.848,0.22,53
741.6,56.26,10.5,2.302,1.828,0.221,53
741.8,53.19,10.1,1.995,1.798,0.221,53
742.0,50.13,10.1,2.174,1.752,0.221,53
742.2,47.06,10.4,2.072,1.64,0.22,53
742.4,43.48,11.0,1.841,1.541,0.221,53
742.6,40.92,12.4,2.072,1.529,0.222,53
742.8,38.62,14.1,2.532,1.602,0.222,53
