DEPT,PS,PZ,GK,NGK,DS,LIT
700.0,39.0,4.9,6.982,1.411,0.196,53
700.2,38.36,4.1,7.058,1.433,0.197,53
700.4,37.4,4.9,7.161,1.45,0.197,53
700.6,36.12,6.1,7.289,1.461,0.197,53
700.8,35.17,8.4,7.302,1.455,0.197,53
701.0,34.85,10.7,7.084,1.4415,0.197,53
701.2,35.48,13.6,6.854,1.437,0.196,53
701.4,36.76,15.1,6.675,1.4345,0.197,53
701.6,40.92,14.8,6.713,1.427,0.2,53
701.8,48.27,13.6,6.803,1.4215,0.202,53
702.0,60.42,12.0,6.816,1.414,0.2,53
702.2,70.65,10.2,6.726,1.4165,0.196,53
702.4,78.0,8.4,6.573,1.427,0.195,53
702.6,75.76,7.2,6.445,1.441,0.196,53
702.8,70.01,6.1,6.854,1.462,0.196,53
703.0,61.38,7.2,7.238,1.493,0.195,53
703.2,50.51,9.5,7.403,1.547,0.192,53
703.4,49.55,12.5,7.263,1.6005,0.192,53
703.6,43.48,16.1,6.931,1.68,0.193,53
703.8,40.28,18.7,6.675,1.7575,0.195,53
704.0,40.28,20.2,6.419,1.808,0.195,53
704.2,42.2,20.2,6.266,1.859,0.196,53
704.4,45.08,20.7,5.959,1.854,0.195,53
704.6,46.99,20.7,5.754,1.846,0.195,53
704.8,48.59,18.9,5.908,1.831,0.195,53
705.0,46.67,16.6,6.317,1.813,0.195,53
705.2,43.48,15.3,6.752,1.805,0.195,53
705.4,41.24,15.3,6.956,1.823,0.195,53
705.6,41.56,14.8,7.57,1.856,0.195,53
705.8,44.12,13.3,7.954,1.892,0.195,53
706.0,47.31,11.0,8.388,1.91,0.195,53
706.2,50.51,10.5,8.721,1.902,0.193,53
706.4,50.19,10.2,8.695,1.884,0.193,53
706.6,47.95,9.2,8.465,1.854,0.193,53
706.8,44.44,7.9,8.695,1.818,0.193,53
707.0,41.88,9.5,8.977,1.782,0.193,53
707.2,39.32,11.5,8.874,1.777,0.193,53
707.4,37.72,14.6,8.542,1.8,0.193,53
707.6,38.68,15.3,8.363,1.838,0.193,53
707.8,40.28,14.6,8.465,1.877,0.193,53
708.0,42.2,14.6,8.567,1.897,0.193,53
708.2,43.8,14.1,8.235,1.877,0.193,53
708.4,44.44,12.5,7.826,1.849,0.193,53
708.6,43.16,10.5,7.723,1.8,0.193,53
708.8,43.16,9.7,8.005,1.769,0.192,53
709.0,44.44,10.7,8.056,1.774,0.19,53
709.2,45.39,11.8,7.775,1.81,0.19,53
709.4,46.35,12.8,7.57,1.833,0.19,53
709.6,45.39,14.1,7.8,1.849,0.19,53
709.8,43.48,16.6,8.005,1.831,0.19,53
710.0,40.92,21.0,8.133,1.8,0.19,53
710.2,37.72,25.1,8.286,1.774,0.19,53
710.4,34.53,30.2,8.158,1.736,0.19,53
710.6,31.97,34.8,7.979,1.698,0.19,53
710.8,29.73,40.9,8.03,1.644,0.191,53
711.0,26.53,43.5,8.03,1.603,0.191,53
711.2,24.61,45.0,7.826,1.547,0.191,53
711.4,23.02,41.9,7.596,1.485,0.191,53
711.6,22.38,37.3,7.212,1.444,0.192,53
711.8,21.74,33.0,6.828,1.398,0.192,53
712.0,21.1,29.2,6.47,1.365,0.192,53
712.2,21.1,24.8,6.317,1.347,0.192,53
712.4,21.42,22.2,6.521,1.355,0.193,53
712.6,22.38,19.2,6.675,1.36,0.193,53
712.8,23.66,16.1,6.7,1.35,0.191,53
713.0,25.89,13.6,6.649,1.337,0.192,53
713.2,27.49,11.0,6.726,1.322,0.192,53
713.4,30.69,9.0,6.854,1.317,0.192,53
713.6,33.57,6.9,7.058,1.332,0.192,53
713.8,37.08,5.6,7.519,1.381,0.192,53
714.0,40.28,5.1,7.928,1.457,0.195,53
714.2,43.48,5.4,8.312,1.547,0.195,53
714.4,46.35,5.9,8.44,1.654,0.197,53
714.6,48.59,8.4,8.133,1.726,0.197,53
714.8,50.19,13.6,7.8,1.792,0.197,53
715.0,50.83,19.2,7.877,1.838,0.197,53
