DEPT,PS,PZ,GK,NGK,DS,LIT
688.0,95.9,12.7,3.407,1.421,0.215,53
688.2,97.44,12.3,3.29,1.419,0.215,53
688.4,98.97,11.6,2.961,1.4336,0.215,53
688.6,100.51,10.5,2.627,1.454,0.215,53
688.8,101.27,9.7,2.521,1.4614,0.215,53
689.0,101.53,9.2,2.72,1.449,0.215,53
689.2,101.27,8.4,2.914,1.4329,0.215,53
689.4,100.25,7.8,2.774,1.4098,0.215,53
689.6,99.23,7.0,2.68,1.3736,0.216,53
689.8,98.21,6.3,2.329,1.3521,0.216,53
690.0,97.18,6.1,2.084,1.3073,0.216,53
690.2,96.16,5.1,1.98,1.2745,0.216,53
690.4,95.14,4.6,1.773,1.2553,0.216,53
690.6,95.14,4.0,1.828,1.2405,0.216,53
690.8,96.16,3.6,1.856,1.2179,0.219,53
691.0,98.21,3.2,1.745,1.2258,0.218,53
691.2,100.76,2.8,1.71,1.2546,0.217,53
691.4,103.32,2.7,2.056,1.2863,0.217,53
691.6,105.37,2.4,2.281,1.343,0.216,53
691.8,108.95,2.4,2.382,1.4837,0.216,53
692.0,112.27,2.4,2.583,1.6593,0.215,53
692.2,114.57,2.4,2.643,1.8469,0.215,53
692.4,117.9,2.8,2.712,1.9545,0.215,53
692.6,120.2,3.2,2.49,2.0141,0.215,53
692.8,121.48,4.7,2.346,1.993,0.215,53
693.0,121.22,9.2,2.211,1.9186,0.215,53
693.2,120.2,14.3,2.17,1.9067,0.215,53
693.4,118.15,23.3,2.059,1.925,0.215,53
693.6,115.85,28.6,2.171,1.9403,0.215,53
693.8,114.06,29.5,2.211,1.9453,0.218,53
694.0,114.57,28.4,2.192,2.0013,0.218,53
694.2,116.62,26.3,2.201,2.0817,0.218,53
694.4,118.41,24.0,2.424,2.156,0.217,53
694.6,120.71,21.2,2.618,2.1831,0.22,53
694.8,123.01,18.3,2.847,2.143,0.226,53
695.0,124.8,18.5,3.045,2.0808,0.227,53
695.2,124.55,19.3,3.125,2.0632,0.227,53
695.4,123.27,19.1,2.946,1.9857,0.227,53
695.6,119.18,19.9,2.876,1.9914,0.229,53
695.8,116.11,20.3,2.952,1.961,0.228,53
696.0,116.87,20.2,2.84,1.935,0.228,53
696.2,117.13,19.6,2.605,1.9378,0.228,53
696.4,105.88,18.0,2.395,1.8679,0.225,53
696.6,93.09,15.9,2.407,1.7469,0.225,53
696.8,91.3,13.4,2.719,1.5671,0.222,53
697.0,91.3,10.5,2.832,1.3016,0.224,53
697.2,92.58,8.2,3.078,1.189,0.224,53
697.4,95.65,6.6,3.058,1.1812,0.227,53
697.6,100.25,5.5,3.153,1.2613,0.225,53
697.8,107.16,4.6,3.132,1.3485,0.228,53
698.0,114.32,4.0,3.191,1.4308,0.227,53
698.2,118.15,3.3,3.103,1.5117,0.224,53
698.4,123.52,3.2,3.328,1.6054,0.223,53
698.6,125.06,4.1,3.403,1.7126,0.226,53
698.8,128.13,5.6,3.231,1.8386,0.227,53
699.0,131.45,7.8,3.108,1.9903,0.226,53
699.2,133.24,10.5,3.065,2.0737,0.224,53
699.4,132.22,13.3,3.107,2.0819,0.224,53
699.6,130.17,13.2,3.118,2.0339,0.226,53
699.8,129.41,11.8,2.85,1.9821,0.227,53
700.0,130.17,9.3,2.493,1.9185,0.231,53
700.2,129.15,8.8,2.393,1.8409,0.227,53
700.4,124.8,8.2,2.367,1.792,0.228,53
700.6,117.9,8.3,2.194,1.6796,0.227,53
700.8,113.81,8.6,2.268,1.6117,0.225,53
701.0,112.78,8.3,2.332,1.573,0.224,53
701.2,115.34,7.8,2.166,1.5911,0.227,53
701.4,117.13,7.8,1.987,1.6573,0.228,53
701.6,118.41,8.3,1.957,1.7551,0.228,53
701.8,116.11,9.6,1.877,1.8276,0.228,53
702.0,112.01,11.6,1.969,1.8124,0.228,53
702.2,106.13,16.8,1.958,1.7768,0.226,53
702.4,103.32,20.6,1.92,1.8021,0.225,53
702.6,102.3,23.9,2.057,1.8586,0.226,53
702.8,103.06,26.7,2.278,1.8956,0.222,53
703.0,104.09,28.0,2.464,1.9107,0.217,53
703.2,105.11,28.1,2.536,1.8571,0.215,53
703.4,106.13,24.0,2.577,1.8106,0.221,53
703.6,106.9,18.4,2.495,1.7642,0.225,53
703.8,107.16,15.0,2.486,1.7421,0.226,53
704.0,106.64,13.2,2.618,1.6432,0.228,53
704.2,107.16,10.7,2.682,1.5896,0.227,53
704.4,108.43,9.1,2.855,1.4988,0.227,53
704.6,110.74,8.4,2.872,1.3863,0.227,53
704.8,113.04,8.3,2.595,1.3725,0.227,53
705.0,112.78,9.5,2.332,1.432,0.224,53
705.2,108.69,11.4,2.559,1.5536,0.223,53
705.4,100.76,18.7,2.785,1.6444,0.223,53
705.6,95.65,25.2,2.732,1.6274,0.219,53
705.8,92.07,24.3,2.532,1.5337,0.22,53
706.0,89.25,22.0,2.043,1.4681,0.215,53
706.2,87.46,19.3,1.878,1.4299,0.216,53
706.4,86.18,16.8,1.859,1.4376,0.212,53
706.6,85.93,14.4,1.896,1.3837,0.209,53
706.8,86.18,12.5,2.129,1.3135,0.212,53
707.0,87.21,10.6,2.171,1.2862,0.212,53
707.2,88.74,9.8,2.378,1.305,0.214,53
707.4,90.53,8.6,2.645,1.3543,0.215,53
707.6,92.58,7.8,2.979,1.3879,0.215,53
707.8,95.14,7.3,3.021,1.3868,0.214,53
708.0,98.21,7.9,2.919,1.4202,0.213,53
708.2,99.74,9.2,2.656,1.4745,0.213,53
708.4,101.79,14.6,2.471,1.5545,0.216,53
708.6,102.04,19.4,2.706,1.6342,0.223,53
708.8,99.23,25.8,2.898,1.711,0.223,53
709.0,96.42,34.0,3.085,1.7612,0.22,53
709.2,94.62,39.5,2.759,1.7757,0.215,53
709.4,95.65,43.6,2.286,1.7644,0.216,53
709.6,96.42,46.7,2.324,1.7737,0.214,53
709.8,96.42,47.4,2.587,1.764,0.215,53
710.0,95.9,46.9,2.821,1.764,0.213,53
710.2,95.14,45.3,3.022,1.7658,0.214,53
710.4,96.42,43.9,3.123,1.7994,0.209,53
710.6,98.72,36.7,2.938,1.8272,0.211,53
710.8,101.27,32.7,2.846,1.795,0.209,53
711.0,103.83,26.5,3.058,1.6847,0.211,53
711.2,107.92,20.2,3.42,1.5431,0.215,53
711.4,110.22,13.9,3.741,1.4189,0.207,53
711.6,113.04,10.2,3.5,1.3625,0.209,53
711.8,114.06,9.7,3.388,1.3556,0.211,53
712.0,114.32,11.0,3.444,1.3792,0.215,53
712.2,112.78,13.2,3.738,1.4476,0.214,53
712.4,109.97,15.1,3.687,1.4877,0.219,53
712.6,107.16,16.2,3.535,1.5094,0.22,53
712.8,105.37,15.7,3.293,1.4301,0.224,53
713.0,104.6,13.7,3.052,1.3861,0.225,53
713.2,107.41,11.4,2.789,1.3386,0.225,53
713.4,110.74,8.7,2.761,1.2805,0.228,53
713.6,114.57,7.5,2.735,1.2643,0.229,53
713.8,116.87,6.6,2.724,1.2741,0.23,53
714.0,115.6,6.1,2.669,1.3231,0.23,53
714.2,113.81,5.8,2.511,1.3473,0.227,53
714.4,112.27,5.6,2.325,1.4192,0.223,53
714.6,110.99,6.3,2.311,1.5218,0.223,53
714.8,110.74,7.0,2.252,1.5553,0.227,53
715.0,112.01,8.6,2.189,1.4586,0.228,53
715.2,113.55,10.2,2.113,1.3881,0.227,53
715.4,117.13,12.0,2.157,1.3731,0.226,53
