DEPT,PS,PZ,GK,NGK,DS,LIT
700.1,45.08,40.41,6.06,1.495,0.201,53
700.3,45.08,41.17,6.11,1.488,0.204,53
700.5,45.08,42.07,5.98,1.523,0.205,53
700.7,45.39,42.84,5.65,1.557,0.204,53
700.9,45.39,43.09,5.52,1.593,0.205,53
701.1,46.03,43.99,5.75,1.626,0.202,53
701.3,46.35,45.65,6.01,1.662,0.205,53
701.5,46.35,47.18,6.24,1.695,0.205,53
701.7,46.35,48.08,6.27,1.703,0.205,53
701.9,45.71,48.72,6.06,1.644,0.205,53
702.1,45.08,48.85,5.7,1.585,0.205,53
702.3,45.39,46.54,5.45,1.523,0.205,53
702.5,46.35,40.41,5.6,1.462,0.205,53
702.7,47.95,32.86,5.88,1.406,0.205,53
702.9,48.91,26.47,6.19,1.344,0.205,53
703.1,49.55,21.48,6.55,1.286,0.206,53
703.3,49.23,17.01,6.85,1.227,0.206,53
703.5,49.55,13.17,7.03,1.211,0.206,53
703.7,51.15,10.23,6.78,1.199,0.206,53
703.9,52.75,7.8,6.42,1.209,0.208,53
704.1,53.39,6.01,6.65,1.229,0.208,53
704.3,52.43,4.86,6.5,1.296,0.208,53
704.5,50.83,4.48,6.19,1.375,0.208,53
704.7,49.23,4.22,6.42,1.454,0.209,53
704.9,47.95,4.09,6.7,1.534,0.209,53
705.1,47.63,4.09,7.03,1.518,0.209,53
705.3,47.95,4.09,7.36,1.462,0.205,53
705.5,48.27,3.96,7.57,1.406,0.206,53
705.7,48.27,3.71,7.72,1.35,0.205,53
705.9,48.27,3.32,7.6,1.332,0.206,53
706.1,47.31,3.07,7.14,1.365,0.205,53
706.3,46.99,2.94,6.57,1.396,0.206,53
706.5,46.67,3.07,6.04,1.429,0.206,53
706.7,46.67,3.45,5.5,1.444,0.206,53
706.9,47.95,3.84,5.27,1.431,0.205,53
707.1,50.83,4.22,5.32,1.447,0.206,53
707.3,55.94,4.35,5.45,1.493,0.206,53
707.5,61.7,4.09,5.68,1.539,0.206,53
707.7,67.13,3.58,5.88,1.585,0.206,53
707.9,70.65,3.58,5.8,1.631,0.206,53
708.1,68.73,4.73,5.57,1.651,0.206,53
708.3,64.89,6.01,5.32,1.633,0.205,53
708.5,62.02,7.29,5.29,1.631,0.205,53
708.7,60.1,8.95,5.55,1.639,0.205,53
708.9,59.78,10.1,5.86,1.593,0.206,53
709.1,57.54,10.61,6.09,1.534,0.206,53
709.3,54.99,10.61,6.16,1.462,0.205,53
709.5,50.83,10.74,5.91,1.483,0.205,53
709.7,46.99,11.38,5.52,1.488,0.206,53
709.9,46.35,12.4,5.09,1.511,0.206,53
710.1,45.71,13.55,4.89,1.526,0.204,53
710.3,45.39,14.45,4.89,1.521,0.206,53
710.5,45.39,14.96,5.01,1.498,0.205,53
710.7,45.08,14.32,5.06,1.437,0.206,53
710.9,45.08,12.4,4.89,1.421,0.205,53
711.1,44.76,10.49,4.71,1.403,0.205,53
711.3,44.76,8.95,4.73,1.419,0.205,53
711.5,45.08,7.93,5.11,1.437,0.205,53
711.7,45.08,7.67,5.52,1.46,0.204,53
711.9,44.76,7.67,5.96,1.47,0.205,53
712.1,44.76,7.8,6.19,1.493,0.202,53
712.3,45.08,8.06,6.11,1.529,0.205,53
712.5,45.08,8.31,5.78,1.544,0.205,53
712.7,45.39,8.57,5.47,1.526,0.206,53
712.9,46.03,8.69,5.27,1.508,0.206,53
713.1,46.67,8.57,5.24,1.49,0.206,53
713.3,47.95,8.31,5.63,1.495,0.205,53
713.5,49.23,7.8,5.91,1.521,0.205,53
713.7,50.51,7.16,5.98,1.562,0.202,53
713.9,51.79,6.78,6.11,1.613,0.202,53
714.1,52.43,6.39,6.45,1.633,0.201,53
714.3,54.03,6.14,6.34,1.685,0.202,53
714.5,56.26,6.39,6.14,1.679,0.205,53
714.7,59.14,7.29,6.16,1.651,0.206,53
714.9,64.89,8.44,6.39,1.541,0.206,53
715.1,70.33,9.46,6.45,1.465,0.204,53
715.3,77.36,10.36,6.16,1.38,0.205,53
715.5,82.16,10.61,5.6,1.352,0.206,53
715.7,82.16,9.97,5.14,1.375,0.209,53
