DEPT,PS,PZ,GK,NGK,DS,LIT
812.0,82.48,9.14,4.271,1.183,0.218,53
812.2,86.31,7.35,4.245,1.244,0.22,53
812.4,90.47,5.56,4.578,1.296,0.222,53
812.6,94.94,4.99,4.808,1.367,0.22,53
812.8,98.46,4.86,5.217,1.418,0.219,53
813.0,102.3,5.31,5.78,1.459,0.22,53
813.2,105.49,10.74,6.189,1.408,0.221,53
813.4,108.69,14.51,6.573,1.316,0.222,53
813.6,110.61,13.75,6.854,1.224,0.22,53
813.8,111.89,13.04,7.135,1.173,0.22,53
814.0,112.21,12.4,7.417,1.173,0.221,53
814.2,111.25,11.76,7.672,1.198,0.221,53
814.4,109.97,11.06,8.005,1.204,0.22,53
814.6,108.37,10.87,8.056,1.193,0.22,53
814.8,105.81,11.19,7.596,1.178,0.221,53
815.0,103.89,14.26,7.161,1.158,0.222,53
815.2,101.98,17.52,6.803,1.132,0.22,53
815.4,99.74,20.78,6.547,1.117,0.22,53
815.6,97.5,24.04,6.854,1.096,0.221,53
815.8,94.94,22.29,7.058,1.086,0.221,53
816.0,93.03,26.53,7.289,1.076,0.22,53
816.2,91.11,28.13,7.186,1.111,0.22,53
816.4,89.19,30.37,6.777,1.147,0.219,53
816.6,87.27,31.97,6.496,1.188,0.218,53
816.8,85.67,32.93,6.598,1.198,0.219,53
817.0,85.03,33.25,6.879,1.163,0.219,53
817.2,85.67,32.93,7.11,1.122,0.221,53
817.4,87.27,31.97,7.365,1.142,0.219,53
817.6,88.87,29.73,7.468,1.158,0.219,53
817.8,90.15,27.17,7.161,1.193,0.219,53
818.0,90.79,23.66,6.726,1.209,0.219,53
818.2,90.15,8.76,6.087,1.27,0.22,53
818.4,90.47,7.35,5.626,1.357,0.219,53
818.6,92.07,5.88,4.936,1.418,0.219,53
818.8,93.67,4.6,4.322,1.434,0.22,53
819.0,95.9,4.09,4.143,1.444,0.221,53
819.2,94.94,3.71,4.194,1.429,0.219,53
819.4,91.75,4.73,4.501,1.439,0.217,53
819.6,87.27,6.52,4.91,1.403,0.214,53
819.8,83.44,9.97,5.205,1.306,0.213,53
820.0,78.64,12.66,4.821,1.255,0.212,53
820.2,76.72,14.77,4.015,1.204,0.212,53
820.4,75.12,14.32,3.018,1.188,0.212,53
820.6,73.85,13.75,2.941,1.193,0.212,53
820.8,73.21,13.49,2.915,1.183,0.212,53
821.0,72.57,13.75,2.788,1.163,0.213,53
821.2,72.25,14.13,2.736,1.142,0.213,53
821.4,72.57,14.77,2.915,1.122,0.213,53
821.6,72.89,14.58,2.941,1.142,0.213,53
821.8,73.53,13.68,2.711,1.168,0.213,53
822.0,74.17,12.47,2.813,1.204,0.214,53
822.2,74.81,11.12,2.864,1.229,0.214,53
822.4,75.44,10.23,3.248,1.255,0.213,53
822.6,76.08,9.59,2.89,1.229,0.213,53
822.8,76.4,9.78,3.146,1.214,0.214,53
823.0,75.44,11.38,3.427,1.214,0.215,53
823.2,75.44,17.14,3.759,1.229,0.216,53
823.4,75.12,25.54,3.785,1.275,0.216,53
823.6,75.12,28.77,3.785,1.357,0.215,53
823.8,76.4,45.71,3.811,1.449,0.215,53
824.0,78.0,55.62,3.759,1.388,0.215,53
824.2,80.56,59.46,3.529,1.244,0.215,53
824.4,83.12,52.75,3.197,1.337,0.214,53
824.6,85.03,44.76,3.632,1.526,0.215,53
824.8,86.63,36.12,3.504,1.71,0.215,53
825.0,89.19,25.06,3.938,1.771,0.215,53
825.2,91.11,20.97,4.527,1.567,0.218,53
825.4,93.35,18.09,4.603,1.49,0.219,53
825.6,94.94,16.5,4.527,1.546,0.22,53
825.8,96.86,15.98,5.013,1.613,0.221,53
826.0,99.1,18.73,5.115,1.669,0.22,53
826.2,98.46,22.06,4.936,1.725,0.219,53
826.4,95.9,25.38,4.706,1.822,0.219,53
826.6,94.94,28.32,4.629,1.93,0.219,53
826.8,92.07,27.17,4.348,2.042,0.22,53
827.0,88.87,23.59,3.862,2.14,0.221,53
827.2,87.27,19.37,3.632,2.032,0.22,53
827.4,85.67,15.98,3.325,1.715,0.219,53
827.6,84.71,13.11,2.915,1.434,0.22,53
827.8,85.99,10.55,2.788,1.372,0.22,53
828.0,88.87,8.63,2.864,1.398,0.219,53
828.2,92.07,7.67,2.736,1.393,0.22,53
828.4,96.86,6.91,2.941,1.357,0.222,53
828.6,99.1,7.03,3.325,1.367,0.22,53
828.8,100.7,7.22,3.734,1.434,0.219,53
829.0,98.46,7.48,4.015,1.551,0.219,53
829.2,95.58,10.68,3.708,1.669,0.219,53
829.4,92.39,13.68,3.376,1.674,0.22,53
829.6,89.51,14.0,2.992,1.623,0.221,53
829.8,89.51,13.75,2.762,1.536,0.221,53
830.0,89.19,13.04,2.609,1.485,0.22,53
830.2,89.19,12.28,2.455,1.521,0.22,53
830.4,91.75,11.51,2.455,1.582,0.22,53
830.6,95.9,10.68,2.506,1.618,0.221,53
830.8,100.06,10.23,2.609,1.695,0.222,53
831.0,105.49,9.97,2.967,1.715,0.222,53
831.2,109.97,10.1,3.504,1.689,0.221,53
831.4,113.49,10.74,3.504,1.654,0.221,53
831.6,115.72,12.02,3.171,1.669,0.22,53
831.8,114.76,13.55,2.967,1.761,0.22,53
832.0,109.97,17.01,3.094,1.853,0.22,53
832.2,107.09,20.33,2.967,1.925,0.22,53
832.4,102.3,25.38,2.788,1.986,0.22,53
832.6,98.78,28.51,2.788,1.971,0.221,53
832.8,95.26,29.99,2.992,1.858,0.222,53
833.0,96.22,28.96,2.992,1.741,0.223,53
833.2,94.94,20.2,2.788,1.633,0.225,53
833.4,96.54,13.43,2.711,1.541,0.226,53
833.6,97.5,9.72,3.094,1.429,0.226,53
833.8,98.14,6.52,3.683,1.342,0.223,53
834.0,96.86,4.28,4.373,1.25,0.22,53
834.2,94.94,4.35,5.14,1.316,0.217,53
834.4,93.35,5.56,4.987,1.434,0.218,53
834.6,92.71,9.78,3.657,1.556,0.22,53
834.8,93.03,16.24,2.839,1.7,0.222,53
835.0,92.39,23.21,2.506,1.868,0.22,53
835.2,93.03,26.21,2.43,2.058,0.22,53
835.4,92.71,37.72,2.378,2.252,0.221,53
835.6,92.39,47.95,2.481,2.446,0.223,53
835.8,92.39,54.99,2.634,2.661,0.22,53
836.0,92.71,61.38,2.43,2.799,0.22,53
836.2,92.71,66.17,2.455,2.917,0.217,133
836.4,93.03,68.73,2.455,3.004,0.218,133
836.6,93.35,62.98,2.251,2.973,0.221,133
836.8,94.62,54.99,2.378,2.876,0.219,133
837.0,95.9,46.03,2.148,2.758,0.222,133
837.2,98.78,29.45,2.148,2.574,0.222,53
837.4,101.98,19.44,2.404,2.344,0.222,53
837.6,106.77,17.01,2.711,2.114,0.226,53
837.8,111.57,14.64,3.069,1.889,0.229,53
838.0,118.28,13.94,3.453,1.705,0.226,53
838.2,118.92,14.13,4.271,1.608,0.223,53
838.4,113.49,14.45,4.987,1.526,0.224,53
838.6,107.73,14.64,5.038,1.633,0.224,53
838.8,104.21,14.96,4.117,1.848,0.225,53
839.0,102.94,15.86,3.376,2.073,0.226,53
839.2,103.26,17.39,2.685,2.303,0.226,53
839.4,105.49,18.8,2.072,2.472,0.226,53
839.6,108.37,19.5,2.072,2.457,0.226,53
839.8,110.93,18.99,2.404,2.406,0.226,53
840.0,113.49,18.16,2.353,2.334,0.225,53
840.2,115.08,17.65,2.327,2.252,0.226,53
840.4,113.17,17.26,2.583,2.252,0.226,53
840.6,110.29,17.71,2.864,2.365,0.225,53
840.8,104.21,18.86,2.839,2.421,0.224,53
841.0,101.66,20.78,2.788,2.37,0.224,53
841.2,101.02,24.68,2.864,2.308,0.224,53
841.4,102.94,27.24,2.864,2.237,0.223,53
841.6,105.81,29.99,2.66,2.262,0.222,53
841.8,109.01,30.05,3.018,2.334,0.224,53
842.0,111.89,29.22,2.788,2.39,0.225,53
842.2,114.44,28.77,2.455,2.441,0.225,53
842.4,117.0,28.96,2.123,2.477,0.225,53
842.6,119.56,29.09,2.506,2.467,0.226,53
842.8,120.52,27.24,2.532,2.431,0.227,53
843.0,121.16,24.81,2.557,2.37,0.227,53
843.2,120.52,22.31,2.506,2.329,0.226,53
843.4,117.0,19.88,2.66,2.298,0.224,53
843.6,111.25,17.52,2.66,2.247,0.221,53
843.8,105.49,16.56,2.634,2.155,0.223,53
844.0,99.74,15.22,2.941,2.012,0.225,53
844.2,94.62,12.6,3.018,1.904,0.226,53
844.4,93.35,11.0,2.915,1.787,0.226,53
844.6,92.39,7.42,2.89,1.643,0.226,53
844.8,91.75,5.75,2.634,1.562,0.225,53
845.0,90.79,4.28,2.455,1.464,0.223,53
845.2,88.87,3.71,2.736,1.398,0.221,53
845.4,86.95,4.67,3.171,1.347,0.22,53
845.6,86.31,7.03,3.299,1.321,0.22,53
845.8,86.95,9.46,3.427,1.321,0.221,53
846.0,87.27,10.55,3.632,1.326,0.221,53
846.2,93.35,9.14,3.887,1.306,0.222,53
846.4,99.42,7.8,4.117,1.275,0.223,53
846.6,108.37,6.14,4.348,1.229,0.233,53
846.8,119.56,4.86,4.475,1.193,0.245,53
847.0,128.19,4.03,5.14,1.214,0.236,53
847.2,125.95,3.13,5.192,1.188,0.234,53
847.4,119.24,2.37,5.473,1.173,0.224,53
847.6,111.57,2.37,5.601,1.234,0.223,53
847.8,107.09,2.75,5.166,1.367,0.224,53
848.0,110.93,3.58,4.348,1.475,0.224,53
848.2,116.68,4.54,3.811,1.47,0.224,53
848.4,121.8,5.63,3.427,1.49,0.224,53
848.6,121.8,6.84,3.222,1.5,0.223,53
848.8,118.92,7.74,3.606,1.495,0.222,53
849.0,115.08,8.89,3.708,1.551,0.221,53
849.2,111.57,9.59,3.99,1.71,0.22,53
849.4,110.61,9.53,4.296,1.812,0.221,53
849.6,110.93,8.69,4.117,1.771,0.224,53
849.8,111.57,7.54,3.913,1.72,0.23,53
850.0,112.21,6.65,3.734,1.649,0.231,53
850.2,108.69,6.39,3.708,1.531,0.224,53
850.4,106.45,6.84,4.092,1.444,0.22,53
850.6,106.13,7.74,4.527,1.439,0.219,53
850.8,106.77,10.87,4.961,1.495,0.219,53
851.0,108.05,15.79,4.987,1.577,0.219,53
851.2,108.69,15.66,4.475,1.654,0.221,53
851.4,105.49,15.6,4.296,1.679,0.22,53
851.6,101.66,17.33,4.834,1.669,0.217,53
851.8,96.86,21.8,5.805,1.659,0.213,53
852.0,92.39,26.12,6.7,1.654,0.213,24
852.2,89.83,38.04,7.468,1.659,0.213,24
852.4,86.63,54.03,7.775,1.654,0.214,24
852.6,84.71,62.98,5.319,1.649,0.214,24
852.8,83.12,75.12,4.143,1.649,0.213,53
853.0,83.12,82.48,3.094,1.643,0.214,53
853.2,81.84,90.15,2.89,1.628,0.215,53
853.4,82.8,93.67,3.248,1.623,0.216,53
853.6,84.39,89.19,3.606,1.638,0.216,53
853.8,88.23,83.12,3.222,1.633,0.217,53
854.0,89.83,75.44,2.736,1.603,0.217,53
854.2,98.78,62.02,2.685,1.582,0.219,53
854.4,103.89,46.99,2.992,1.613,0.22,53
854.6,110.93,35.48,3.427,1.649,0.224,53
854.8,117.32,27.73,3.734,1.72,0.227,53
855.0,124.36,23.74,4.015,1.828,0.228,53
855.2,127.55,17.97,4.475,1.899,0.228,53
855.4,131.07,13.62,5.013,1.879,0.231,53
855.6,131.07,10.68,5.575,1.797,0.232,24
855.8,128.19,8.95,5.959,1.73,0.229,24
856.0,122.12,8.06,5.959,1.684,0.227,24
856.2,116.04,6.46,6.342,1.756,0.227,24
