DEPT,PS,PZ,GK,NGK,DS,LIT
700.0,37.72,19.44,3.207,1.331,0.198,53
700.2,37.4,23.78,3.11,1.343,0.198,53
700.4,36.44,30.69,2.891,1.329,0.198,53
700.6,35.17,38.11,2.721,1.299,0.198,53
700.8,32.93,41.69,2.624,1.258,0.198,53
701.0,31.01,37.85,2.745,1.222,0.198,53
701.2,29.73,24.55,2.94,1.145,0.198,53
701.4,28.13,14.58,3.11,1.095,0.198,53
701.6,27.49,10.23,3.353,1.042,0.198,53
701.8,26.21,8.18,3.499,1.015,0.198,53
702.0,26.21,6.91,3.231,1.003,0.198,53
702.2,25.57,5.88,3.207,1.003,0.198,53
702.4,25.57,5.63,3.11,1.013,0.198,53
702.6,25.57,6.14,3.304,1.034,0.198,53
702.8,25.89,6.91,3.499,1.053,0.197,53
703.0,25.89,8.95,3.474,1.074,0.197,53
703.2,26.85,12.53,3.304,1.093,0.197,53
703.4,27.81,17.9,3.401,1.099,0.197,53
703.6,28.77,32.74,3.547,1.122,0.197,53
703.8,29.09,44.24,3.474,1.16,0.197,53
704.0,29.41,50.13,3.353,1.197,0.197,53
704.2,30.05,53.19,3.45,1.224,0.197,53
704.4,30.37,55.24,3.474,1.243,0.197,53
704.6,31.01,50.64,3.28,1.239,0.197,53
704.8,31.33,48.08,3.304,1.216,0.198,53
705.0,32.61,40.41,3.474,1.191,0.198,53
705.2,33.57,32.48,3.377,1.178,0.198,53
705.4,34.53,23.78,3.231,1.189,0.198,53
705.6,35.17,18.67,2.94,1.207,0.198,53
705.8,35.8,15.6,3.037,1.195,0.2,53
706.0,36.44,13.04,3.183,1.178,0.2,53
706.2,36.76,11.0,3.256,1.162,0.2,53
706.4,37.72,9.21,3.183,1.141,0.2,53
706.6,37.72,8.18,3.28,1.122,0.2,53
706.8,37.72,7.67,3.377,1.088,0.2,53
707.0,37.72,7.42,3.547,1.07,0.2,53
707.2,36.44,7.93,3.62,1.066,0.2,53
707.4,35.17,8.44,3.45,1.078,0.2,53
707.6,33.25,8.69,3.304,1.091,0.2,53
707.8,32.29,8.95,3.158,1.097,0.2,53
708.0,31.65,8.69,3.256,1.084,0.2,53
708.2,31.97,7.93,3.547,1.072,0.2,53
708.4,32.61,7.16,3.644,1.076,0.2,53
708.6,33.57,6.91,3.742,1.082,0.2,53
708.8,33.89,7.67,3.669,1.074,0.2,53
709.0,34.21,8.69,3.45,1.068,0.2,53
709.2,33.57,10.23,3.11,1.066,0.2,53
709.4,32.29,12.28,2.77,1.076,0.198,53
709.6,30.37,14.83,2.454,1.078,0.198,53
709.8,29.41,17.9,2.259,1.07,0.198,53
710.0,28.45,20.46,2.114,1.065,0.198,53
710.2,27.81,22.76,2.017,1.049,0.197,53
710.4,27.81,21.74,2.162,1.045,0.197,53
710.6,27.81,19.95,2.259,1.049,0.197,53
710.8,27.81,17.9,2.405,1.065,0.196,53
711.0,28.13,15.6,2.575,1.089,0.196,53
711.2,28.77,14.58,2.673,1.113,0.196,53
711.4,29.09,15.35,2.794,1.134,0.195,53
