DEPT,PS,PZ,GK,NGK,DS,LIT
600.0,45.71,25.32,6.19,1.202,0.194,53
600.2,46.03,22.76,5.83,1.198,0.194,53
600.4,46.35,20.72,5.68,1.202,0.194,53
600.6,46.67,17.39,5.63,1.218,0.194,53
600.8,46.99,14.07,5.5,1.237,0.195,53
601.0,49.23,11.0,5.34,1.264,0.195,53
601.2,51.15,8.18,5.45,1.285,0.195,53
601.4,54.99,6.14,5.63,1.308,0.195,53
601.6,56.9,5.11,5.75,1.323,0.195,53
601.8,57.22,5.88,5.57,1.314,0.195,53
602.0,56.9,6.91,5.45,1.292,0.195,53
602.2,58.18,8.18,5.65,1.275,0.195,53
602.4,60.74,9.72,5.75,1.277,0.195,53
602.6,61.06,11.0,5.6,1.285,0.195,53
602.8,60.1,13.04,5.6,1.283,0.195,53
603.0,58.5,15.09,5.8,1.273,0.195,53
603.2,56.9,17.14,5.98,1.277,0.195,53
603.4,55.3,18.92,5.98,1.281,0.195,53
603.6,54.35,20.46,5.78,1.294,0.195,53
603.8,53.71,21.74,5.68,1.308,0.195,53
604.0,54.35,21.99,5.83,1.315,0.195,53
604.2,55.94,20.2,5.98,1.306,0.196,53
604.4,57.22,17.9,6.22,1.296,0.196,53
604.6,58.82,15.09,6.39,1.298,0.197,53
604.8,62.34,12.53,6.57,1.289,0.197,53
605.0,66.49,11.0,6.5,1.275,0.197,53
605.2,72.25,10.23,6.32,1.264,0.197,53
605.4,77.04,9.72,6.32,1.264,0.197,53
605.6,83.12,9.97,6.42,1.246,0.199,53
605.8,85.03,10.48,6.42,1.216,0.203,53
606.0,82.48,10.74,6.42,1.2,0.206,53
606.2,72.57,10.74,6.45,1.183,0.206,53
606.4,65.21,9.72,6.6,1.154,0.206,53
606.6,60.42,8.69,6.7,1.145,0.206,53
606.8,59.78,7.67,6.83,1.133,0.208,53
607.0,63.94,6.91,6.98,1.145,0.209,53
607.2,70.33,7.42,6.96,1.15,0.21,53
607.4,75.76,9.46,6.75,1.149,0.213,53
607.6,80.24,10.23,6.7,1.141,0.214,53
607.8,79.6,12.28,6.62,1.15,0.209,53
608.0,74.49,13.81,6.39,1.17,0.206,53
608.2,66.17,14.07,6.09,1.187,0.203,53
608.4,60.74,12.02,5.78,1.191,0.2,53
608.6,54.67,9.72,5.37,1.17,0.2,53
608.8,48.59,7.67,5.09,1.147,0.199,53
609.0,45.08,5.88,4.83,1.122,0.199,53
609.2,41.24,4.09,4.86,1.101,0.197,53
609.4,38.68,2.56,4.94,1.074,0.197,53
609.6,37.4,1.79,5.06,1.055,0.197,53
609.8,37.08,1.02,5.01,1.037,0.197,53
610.0,36.76,1.28,4.91,1.024,0.197,53
610.2,36.76,1.53,5.01,1.014,0.197,53
