DEPT,PS,PZ,GK,NGK,DS,LIT
851.0,88.6,10.96,2.695,0.9673,0.2167,53
851.2,90.0,10.47,2.727,1.0082,0.2174,53
851.4,88.8,10.17,2.468,0.993,0.2175,53
851.6,86.2,9.89,2.727,0.9357,0.2175,53
851.8,84.5,9.55,2.792,0.9603,0.2174,53
852.0,83.0,9.1,3.214,0.9918,0.2173,53
852.2,84.6,8.78,3.539,0.9813,0.2173,53
852.4,84.3,8.69,3.442,0.9451,0.2173,53
852.6,86.3,8.6,3.149,0.9264,0.2173,53
852.8,87.6,8.45,2.662,0.9264,0.2171,53
853.0,86.5,8.22,2.76,0.9463,0.2171,53
853.2,85.9,8.02,3.084,0.8914,0.2171,53
853.4,85.4,7.94,3.117,0.9054,0.2171,53
853.6,84.2,7.94,3.214,0.9404,0.217,53
853.8,82.2,8.15,3.247,0.9381,0.2169,53
854.0,78.5,8.3,3.409,0.9556,0.2168,53
854.2,77.3,8.45,3.669,0.9054,0.2168,53
854.4,79.1,8.17,3.669,0.9311,0.2168,53
854.6,81.4,7.58,4.221,0.9159,0.2167,53
854.8,82.1,6.91,4.675,0.9299,0.2167,24
855.0,84.8,6.4,4.416,0.9533,0.2166,24
855.2,85.2,5.99,3.636,0.9533,0.2166,24
855.4,84.4,5.89,2.76,0.9077,0.2166,53
855.6,83.2,5.89,3.247,0.9019,0.2155,53
855.8,82.2,5.91,3.571,0.8972,0.2147,53
856.0,82.1,5.93,2.922,0.8832,0.2146,53
856.2,79.5,6.19,3.182,0.8995,0.2147,53
856.4,77.1,6.42,3.052,0.9171,0.2146,53
856.6,79.7,6.91,2.922,0.9346,0.2146,53
856.8,83.1,7.28,3.247,0.9463,0.2144,53
857.0,85.5,7.75,3.506,0.9521,0.214,53
857.2,91.4,7.98,3.734,0.9124,0.2137,53
857.4,96.2,8.0,3.571,0.9241,0.2137,53
857.6,104.1,8.65,3.669,0.8925,0.2132,53
857.8,110.8,10.3,2.987,0.9007,0.2208,53
858.0,119.4,11.94,3.344,0.8843,0.2235,53
