DEPT,PS,PZ,GK,NGK,DS,LIT
700.1,66.81,16.88,6.151,2.0815,0.197,53
700.3,64.57,19.44,6.343,2.0875,0.197,53
700.5,60.74,20.2,5.898,2.0771,0.197,53
700.7,56.26,21.23,5.486,2.0611,0.197,53
700.9,51.79,27.88,5.498,2.0489,0.197,53
701.1,48.27,39.64,5.513,2.0658,0.197,53
701.3,44.44,47.82,5.286,2.0873,0.197,53
701.5,41.24,53.96,4.928,2.0832,0.197,53
701.7,38.68,51.92,4.62,2.0542,0.197,53
701.9,37.4,49.1,4.296,2.012,0.197,53
702.1,36.76,45.78,4.182,1.9667,0.197,53
702.3,35.48,42.71,4.292,1.9235,0.197,53
702.5,34.53,39.38,4.471,1.8996,0.197,53
702.7,33.89,37.08,4.613,1.8733,0.197,53
702.9,33.57,35.04,4.674,1.8563,0.197,53
703.1,33.57,33.76,5.012,1.8616,0.197,53
703.3,34.21,33.25,5.553,1.884,0.197,53
703.5,34.53,33.25,6.051,1.9016,0.198,53
703.7,34.85,33.5,6.31,1.9007,0.198,53
703.9,34.85,33.76,6.295,1.8986,0.198,53
704.1,34.85,33.5,6.371,1.9161,0.198,53
704.3,35.17,32.74,6.76,1.9453,0.198,53
704.5,35.48,31.2,7.224,1.9625,0.198,53
704.7,38.04,30.18,7.499,1.9568,0.198,53
704.9,41.56,29.16,7.483,1.9396,0.198,53
705.1,46.35,28.9,7.417,1.9354,0.198,53
705.3,49.55,31.71,7.529,1.9134,0.198,53
705.5,49.55,36.83,7.422,1.8679,0.198,53
705.7,45.39,41.94,6.958,1.8295,0.198,53
705.9,42.2,46.29,6.464,1.7829,0.198,53
706.1,39.0,49.36,6.018,1.7257,0.198,53
706.3,38.36,51.15,5.812,1.6685,0.198,53
706.5,37.72,49.87,5.86,1.6237,0.198,53
706.7,37.72,47.57,6.099,1.5958,0.198,53
706.9,37.4,45.78,6.373,1.6099,0.198,53
707.1,38.04,45.01,6.714,1.652,0.198,53
707.3,38.68,45.52,7.028,1.6924,0.198,53
707.5,39.96,46.29,7.177,1.7161,0.198,53
707.7,40.92,45.78,7.188,1.7303,0.198,53
707.9,42.2,42.97,7.427,1.7839,0.198,53
708.1,44.76,36.06,7.767,1.8512,0.198,53
708.3,47.31,30.18,7.936,1.8951,0.2,53
708.5,49.87,25.32,7.638,1.912,0.2,53
708.7,52.43,19.44,7.357,1.9,0.2,53
708.9,55.62,15.35,7.434,1.885,0.2,53
709.1,57.86,12.53,7.223,1.8892,0.2,53
709.3,58.18,11.51,6.672,1.8989,0.2,53
709.5,57.22,10.48,6.15,1.8949,0.2,53
709.7,55.3,10.23,5.882,1.8919,0.2,53
709.9,56.26,10.48,5.975,1.9066,0.2,53
710.1,55.94,11.25,6.044,1.9064,0.2,53
710.3,54.67,12.53,6.002,1.8803,0.2,53
710.5,51.47,14.07,6.084,1.8533,0.2,53
710.7,48.59,15.35,6.311,1.8275,0.197,53
710.9,46.67,16.11,6.551,1.8083,0.197,53
711.1,47.31,15.09,6.609,1.8194,0.197,53
711.3,48.91,14.58,6.423,1.8453,0.197,53
711.5,52.43,14.07,6.194,1.8735,0.197,53
711.7,58.18,13.55,6.119,1.88,0.197,53
711.9,62.98,13.3,6.149,1.8973,0.197,53
712.1,69.69,15.35,5.976,1.918,0.197,53
712.3,74.17,17.9,5.741,1.9496,0.197,53
712.5,73.21,22.76,5.697,1.9592,0.197,53
712.7,70.01,27.62,5.818,1.954,0.197,53
712.9,64.25,30.43,5.869,1.9835,0.197,53
713.1,55.94,28.9,5.755,2.0189,0.197,53
713.3,50.83,26.34,5.582,2.0596,0.197,53
713.5,47.63,25.06,5.503,2.0821,0.197,53
713.7,48.91,28.64,5.789,2.0795,0.197,53
713.9,51.79,33.25,6.185,2.0566,0.197,53
714.1,56.26,35.29,6.619,2.0579,0.197,53
714.3,60.42,33.25,6.934,2.0857,0.197,53
714.5,61.38,29.16,7.093,2.0864,0.197,53
714.7,56.58,24.3,6.996,2.0558,0.197,53
714.9,50.83,19.18,6.657,2.0148,0.197,53
715.1,47.63,16.11,6.383,1.9774,0.198,53
715.3,51.47,13.81,6.261,1.9606,0.198,53
715.5,57.22,12.28,6.495,1.9752,0.198,53
715.7,61.06,12.02,6.725,2.0067,0.198,133
715.9,58.5,13.04,6.926,2.0374,0.198,133
716.1,54.35,13.81,6.763,2.0664,0.198,133
716.3,49.55,16.11,6.54,2.0871,0.198,133
716.5,46.35,20.2,6.257,2.0863,0.198,53
716.7,44.76,24.55,6.099,2.0559,0.198,53
716.9,44.12,29.16,5.993,2.041,0.198,53
717.1,45.71,31.97,6.129,2.059,0.198,53
717.3,47.31,32.74,6.367,2.059,0.198,53
717.5,50.83,30.43,6.645,2.0215,0.198,53
717.7,56.58,27.11,6.941,1.9855,0.198,53
717.9,60.74,25.32,7.139,1.9954,0.198,53
718.1,66.49,20.2,7.171,2.0094,0.198,53
718.3,69.69,19.44,7.066,2.0177,0.2,53
718.5,73.85,18.41,7.065,2.0365,0.2,53
718.7,75.12,18.16,7.561,2.0739,0.2,24
718.9,73.21,19.44,8.194,2.1152,0.2,24
719.1,68.09,21.48,9.245,2.1228,0.2,24
719.3,62.98,23.78,9.274,2.0712,0.2,24
719.5,56.58,28.13,9.716,2.028,0.2,24
719.7,51.15,35.55,9.046,1.9602,0.198,24
719.9,46.99,85.55,8.423,1.8971,0.197,24
720.1,42.84,95.01,6.597,1.829,0.197,24
720.3,40.6,109.97,5.487,1.7957,0.198,53
720.5,38.36,116.36,5.353,1.7823,0.197,53
720.7,36.76,112.53,5.478,1.7847,0.197,53
720.9,35.48,92.83,5.636,1.7686,0.198,53
721.1,34.53,74.17,5.754,1.733,0.197,53
721.3,33.57,59.84,5.624,1.5788,0.197,53
721.5,32.93,48.59,5.552,1.648,0.197,53
721.7,32.93,41.43,5.715,1.6176,0.197,53
721.9,32.29,34.53,5.997,1.5693,0.197,53
722.1,32.29,28.13,6.322,1.5486,0.197,53
722.3,31.97,23.53,6.437,1.5486,0.197,53
722.5,31.97,21.23,6.209,1.5557,0.197,53
722.7,31.97,19.95,6.224,1.5842,0.197,53
722.9,31.97,19.69,6.502,1.6238,0.197,53
723.1,31.97,20.2,6.675,1.668,0.197,53
723.3,32.29,22.76,6.643,1.7396,0.197,53
723.5,33.25,29.41,6.472,1.7957,0.197,53
723.7,34.53,39.38,6.597,1.8667,0.197,53
723.9,36.12,51.66,6.545,1.9335,0.197,53
724.1,38.36,57.8,6.399,1.9343,0.197,53
724.3,41.24,54.73,6.523,1.8525,0.197,53
724.5,43.16,48.59,6.729,1.7812,0.197,53
724.7,44.12,39.64,6.984,1.6926,0.197,53
724.9,42.84,31.2,7.135,1.6613,0.197,53
725.1,39.96,25.57,7.082,1.5948,0.197,53
725.3,39.96,20.72,6.827,1.5578,0.198,53
725.5,41.24,15.86,6.624,1.543,0.198,53
725.7,43.48,12.02,6.726,1.58,0.198,53
725.9,45.39,8.95,6.879,1.6409,0.198,53
726.1,45.71,7.67,6.701,1.7177,0.198,53
726.3,44.44,6.91,6.344,1.7667,0.198,53
726.5,42.2,6.39,6.089,1.8306,0.198,53
726.7,40.28,5.88,6.06,1.8854,0.198,53
726.9,40.28,5.88,6.213,1.9502,0.198,53
727.1,42.2,5.63,6.442,2.0051,0.198,53
727.3,45.08,5.88,6.546,2.0366,0.198,53
727.5,48.91,5.88,6.445,2.0492,0.198,53
727.7,51.79,6.39,6.22,2.0189,0.198,53
727.9,52.75,6.65,6.012,1.9762,0.198,53
728.1,51.47,7.16,6.01,1.9573,0.198,53
728.3,54.35,7.93,6.061,1.9423,0.198,53
728.5,59.14,8.18,6.013,1.9418,0.198,53
728.7,63.62,8.44,5.812,1.9266,0.198,53
728.9,70.33,8.69,5.609,1.9056,0.198,53
729.1,72.89,8.44,5.329,1.8807,0.198,53
729.3,70.65,8.18,5.096,1.8654,0.198,53
729.5,65.21,7.93,4.916,1.8676,0.198,53
729.7,62.02,7.67,4.786,1.8917,0.198,53
729.9,59.78,8.69,4.804,1.919,0.198,53
730.1,61.06,9.21,4.929,1.9612,0.198,53
730.3,61.7,10.48,5.059,1.9927,0.198,53
730.5,62.98,12.28,5.066,2.0087,0.198,53
730.7,64.57,13.3,5.163,1.9835,0.198,53
730.9,63.62,14.07,5.263,1.9552,0.198,53
731.1,58.5,13.55,5.103,1.9608,0.2,53
731.3,50.51,13.55,4.771,1.9607,0.2,53
731.5,44.44,14.07,4.393,1.9713,0.2,53
731.7,42.2,15.09,4.364,1.9812,0.2,53
731.9,40.28,16.88,4.562,1.9929,0.2,53
732.1,38.36,19.95,4.863,1.9801,0.2,53
732.3,36.76,23.27,5.296,1.9473,0.2,53
732.5,35.8,26.34,5.723,1.9044,0.2,53
732.7,35.17,27.62,6.153,1.8619,0.2,53
732.9,34.85,26.6,5.977,1.8358,0.2,53
733.1,35.48,24.04,5.572,1.8301,0.2,53
733.3,36.12,21.74,5.43,1.8536,0.2,53
733.5,37.08,20.2,5.461,1.8842,0.2,53
733.7,37.72,19.69,5.335,1.9041,0.2,53
733.9,39.0,20.2,5.152,1.9135,0.2,53
734.1,39.64,18.67,4.97,1.925,0.198,53
734.3,40.28,17.39,4.97,1.9297,0.197,53
734.5,40.6,15.86,5.055,1.921,0.198,53
734.7,40.6,15.09,5.047,1.9318,0.198,53
734.9,40.6,13.55,5.075,1.9677,0.198,53
735.1,40.6,13.3,5.317,2.0062,0.198,53
735.3,40.6,13.3,5.618,2.0353,0.198,53
735.5,40.92,13.55,5.78,2.0509,0.197,53
735.7,42.84,13.04,5.759,2.0478,0.198,53
735.9,45.39,11.51,5.795,2.008,0.197,53
736.1,49.23,9.97,6.005,1.9505,0.198,53
736.3,53.07,8.44,6.306,1.878,0.198,53
736.5,57.22,7.67,6.44,1.811,0.198,53
736.7,62.02,8.18,6.125,1.7642,0.198,53
736.9,66.49,9.72,5.651,1.7356,0.198,53
737.1,73.21,11.25,5.504,1.7413,0.197,53
737.3,80.56,11.76,5.473,1.7534,0.197,53
737.5,84.39,11.0,5.383,1.748,0.197,53
737.7,82.48,9.46,5.125,1.7328,0.197,53
737.9,75.44,10.23,4.909,1.7028,0.197,53
738.1,67.77,16.37,4.873,1.6749,0.197,53
738.3,60.1,19.44,5.064,1.647,0.197,53
738.5,52.43,23.02,5.332,1.6298,0.197,53
738.7,45.08,23.02,5.46,1.6514,0.197,53
738.9,41.24,19.18,5.6,1.6898,0.197,53
739.1,43.16,14.32,5.919,1.7567,0.197,53
739.3,47.31,10.23,6.225,1.8234,0.197,133
739.5,52.75,7.42,6.507,1.8942,0.197,133
739.7,60.1,6.14,6.059,1.9694,0.197,133
739.9,65.53,6.91,5.919,2.0548,0.197,133
740.1,68.73,8.44,6.277,2.1319,0.197,133
740.3,68.41,9.72,6.368,2.1686,0.197,133
740.5,69.69,11.25,6.518,2.1707,0.197,133
740.7,73.53,12.79,6.231,2.1766,0.197,133
740.9,78.96,14.83,5.876,2.2187,0.198,133
741.1,83.12,16.37,5.606,2.2553,0.198,133
741.3,83.76,19.44,5.358,2.2536,0.198,53
741.5,80.24,21.48,5.101,2.2277,0.198,53
741.7,75.12,23.27,4.84,2.2049,0.198,53
741.9,69.37,27.11,4.81,2.1767,0.198,53
742.1,62.66,29.67,5.058,2.1208,0.198,53
742.3,57.54,32.99,5.364,2.054,0.198,53
742.5,53.39,35.29,5.49,1.9862,0.198,53
742.7,50.51,37.08,5.353,1.9143,0.198,53
742.9,48.27,38.11,4.996,1.8354,0.198,53
743.1,45.39,39.13,4.765,1.7812,0.198,53
743.3,43.48,41.17,5.047,1.7262,0.198,53
743.5,41.24,43.48,5.189,1.7055,0.198,53
743.7,39.32,48.08,5.437,1.7152,0.198,53
743.9,38.36,54.22,5.381,1.7268,0.198,53
744.1,37.72,61.12,5.152,1.7621,0.198,53
744.3,37.08,69.31,5.155,1.7839,0.198,53
744.5,36.76,74.17,5.426,1.7913,0.198,53
744.7,36.12,79.79,5.707,1.7505,0.198,53
744.9,35.8,80.3,5.847,1.6915,0.198,53
745.1,35.8,78.51,5.713,1.6385,0.198,53
745.3,35.8,73.4,5.553,1.5876,0.198,53
745.5,35.48,67.52,5.597,1.5672,0.198,53
745.7,35.48,60.87,5.734,1.5369,0.198,53
745.9,35.48,54.22,5.733,1.5216,0.2,53
746.1,35.48,48.33,5.657,1.5306,0.2,53
746.3,35.17,41.69,5.857,1.5532,0.2,53
746.5,35.17,36.06,6.051,1.5789,0.2,53
746.7,34.85,31.97,6.123,1.5711,0.2,53
746.9,34.53,29.41,6.031,1.5402,0.2,53
747.1,34.53,26.85,6.055,1.5299,0.2,53
747.3,34.21,25.32,6.259,1.5253,0.2,53
747.5,33.89,24.04,6.492,1.5116,0.2,53
747.7,33.57,22.25,6.693,1.5077,0.2,53
747.9,33.25,21.74,6.636,1.5171,0.2,53
748.1,33.25,20.97,6.199,1.5408,0.2,53
748.3,33.57,20.2,5.942,1.5634,0.198,53
748.5,33.89,19.18,5.814,1.5817,0.198,53
748.7,34.53,18.41,5.582,1.5722,0.198,53
748.9,35.17,17.9,5.354,1.5351,0.198,53
749.1,35.8,18.92,5.175,1.5087,0.198,53
749.3,36.12,20.46,5.022,1.5155,0.198,53
749.5,36.44,22.76,4.817,1.5464,0.198,53
749.7,36.12,25.32,4.716,1.5771,0.198,53
749.9,35.8,28.13,4.695,1.6126,0.198,53
750.1,35.48,30.43,4.926,1.6642,0.198,53
750.3,35.17,32.74,5.22,1.689,0.198,53
750.5,34.85,34.78,5.41,1.7423,0.198,53
750.7,35.17,36.57,5.37,1.7731,0.198,53
750.9,35.48,37.34,5.23,1.7759,0.198,53
751.1,35.8,36.83,5.294,1.7434,0.198,53
751.3,36.12,35.55,5.537,1.727,0.198,53
751.5,36.12,34.01,5.793,1.7315,0.198,53
751.7,35.8,32.74,6.099,1.727,0.2,53
751.9,35.48,31.71,6.329,1.7344,0.2,53
752.1,34.85,30.43,6.344,1.7514,0.2,53
752.3,34.53,29.67,6.077,1.7348,0.2,53
752.5,34.21,29.41,5.794,1.7166,0.2,53
752.7,33.89,29.41,5.652,1.7357,0.2,53
752.9,33.57,29.67,5.536,1.7606,0.197,53
753.1,33.57,28.9,5.709,1.7816,0.197,53
753.3,33.57,28.13,6.039,1.8084,0.197,53
753.5,33.89,26.09,6.338,1.8127,0.197,53
753.7,34.21,24.3,6.482,1.8136,0.197,53
753.9,34.53,22.25,6.496,1.7789,0.197,53
754.1,34.85,20.2,6.618,1.7511,0.197,53
754.3,35.48,18.41,6.859,1.777,0.197,53
754.5,35.8,17.14,6.918,1.8014,0.197,53
754.7,36.12,16.37,6.612,1.8087,0.197,53
754.9,36.44,17.39,6.112,1.8126,0.197,53
755.1,36.76,19.69,5.849,1.8314,0.197,53
755.3,37.08,22.25,5.9,1.8563,0.197,53
755.5,37.4,24.81,6.093,1.8765,0.197,53
755.7,37.4,26.85,6.293,1.8673,0.197,53
755.9,37.4,26.6,6.47,1.8475,0.197,53
756.1,37.4,23.78,6.373,1.8512,0.197,53
756.3,37.72,20.46,6.107,1.846,0.197,53
756.5,38.68,17.9,5.821,1.8028,0.197,53
756.7,40.28,15.09,5.754,1.7784,0.197,53
756.9,46.03,13.3,5.663,1.7675,0.197,53
757.1,47.63,11.0,5.449,1.7878,0.197,53
757.3,54.35,8.69,5.188,1.8229,0.197,53
757.5,60.1,7.93,5.099,1.8564,0.197,53
757.7,66.49,7.16,5.192,1.8699,0.197,53
757.9,67.45,6.91,5.077,1.8508,0.197,53
758.1,63.94,6.91,4.873,1.7923,0.197,53
758.3,57.54,7.16,4.789,1.7215,0.197,53
758.5,51.15,7.42,4.836,1.6581,0.197,53
758.7,46.35,7.93,5.077,1.6045,0.197,53
758.9,42.2,8.18,5.346,1.5709,0.197,53
759.1,39.96,8.44,5.568,1.5696,0.197,53
759.3,37.72,8.44,5.617,1.6178,0.197,53
759.5,40.92,7.93,5.713,1.6821,0.197,53
759.7,46.99,7.42,6.122,1.764,0.197,53
759.9,54.35,6.65,6.632,1.8313,0.197,24
760.1,63.3,6.14,7.27,1.931,0.197,24
760.3,68.09,5.11,7.738,2.0377,0.197,24
760.5,71.93,5.11,8.148,2.0858,0.197,24
760.7,70.33,5.88,8.134,2.0852,0.197,24
760.9,63.62,6.91,7.798,2.0582,0.197,24
761.1,57.22,8.44,7.344,2.0884,0.197,133
761.3,50.19,9.97,7.13,2.1567,0.197,133
761.5,47.63,11.0,7.015,2.218,0.197,133
761.7,47.63,12.02,7.01,2.2693,0.197,133
761.9,50.19,12.53,6.868,2.2921,0.197,52
762.1,52.11,12.02,6.667,2.2682,0.197,52
762.3,54.35,11.0,6.675,2.2474,0.197,52
762.5,54.99,10.23,6.832,2.2215,0.197,133
762.7,53.71,11.0,6.949,2.2218,0.197,133
762.9,53.71,12.28,6.8,2.3048,0.197,133
763.1,54.67,15.35,6.635,2.3467,0.197,133
763.3,55.62,17.39,6.533,2.3716,0.197,133
763.5,55.94,18.92,6.385,2.3428,0.197,133
763.7,55.3,19.18,6.188,2.312,0.197,133
763.9,54.03,17.65,5.958,2.2654,0.197,133
764.1,52.75,15.86,5.703,2.2232,0.197,53
764.3,52.11,14.32,5.422,2.1841,0.197,53
764.5,53.39,13.3,5.206,2.1508,0.197,53
764.7,54.99,12.28,4.963,2.1379,0.197,53
764.9,58.18,11.25,4.822,2.1456,0.197,53
765.1,61.06,10.23,4.794,2.1306,0.197,53
765.3,62.66,9.46,4.948,2.1297,0.197,53
765.5,61.7,8.44,5.146,2.127,0.197,53
765.7,62.34,7.93,5.311,2.1031,0.197,53
765.9,65.53,7.42,5.396,2.065,0.197,53
766.1,68.73,7.16,5.297,2.0321,0.197,53
766.3,70.97,6.91,5.145,1.9963,0.197,53
766.5,67.13,6.91,5.115,1.9563,0.197,53
766.7,61.06,7.16,5.34,1.9176,0.195,53
766.9,54.99,7.42,5.697,1.8954,0.195,53
767.1,52.75,8.18,6.039,1.899,0.195,53
767.3,53.07,8.44,6.221,1.9028,0.195,53
767.5,53.71,8.18,6.037,1.8666,0.195,53
767.7,54.35,7.93,5.849,1.8115,0.193,53
767.9,53.07,7.16,6.13,1.7561,0.195,53
768.1,50.83,7.42,6.368,1.7068,0.193,53
768.3,47.95,8.44,6.372,1.716,0.193,53
768.5,46.35,9.21,6.134,1.7726,0.193,53
768.7,46.35,8.69,5.98,1.8528,0.193,133
768.9,49.23,7.67,6.048,1.9787,0.193,133
769.1,54.03,7.16,6.193,2.1216,0.193,133
769.3,60.42,6.65,6.072,2.2036,0.193,133
769.5,64.57,6.39,5.805,2.2625,0.193,133
769.7,66.49,6.91,5.393,2.3019,0.193,133
769.9,63.94,7.42,5.036,2.2701,0.193,133
770.1,59.46,9.72,4.696,2.234,0.193,53
770.3,57.22,12.53,4.498,2.1976,0.193,53
770.5,55.94,16.88,4.507,2.1554,0.193,53
770.7,56.58,23.02,4.638,2.1279,0.195,53
770.9,57.22,28.13,4.76,2.1285,0.195,53
771.1,58.18,32.48,4.751,2.1674,0.195,53
771.3,58.82,35.04,4.595,2.1978,0.195,53
771.5,57.54,37.34,4.47,2.2137,0.196,53
771.7,55.62,41.17,4.485,2.1849,0.196,53
771.9,53.07,48.08,4.731,2.1392,0.196,53
772.1,49.55,55.5,4.784,2.0681,0.196,53
772.3,46.67,60.87,4.755,1.9891,0.196,53
772.5,43.48,61.38,4.625,1.9287,0.197,53
772.7,40.28,49.87,4.531,1.8475,0.197,53
772.9,38.36,41.43,4.69,1.7756,0.197,53
773.1,35.8,26.6,4.98,1.6746,0.197,53
773.3,33.57,22.76,5.414,1.58,0.197,53
773.5,32.29,17.14,5.836,1.4857,0.197,53
773.7,31.97,13.04,5.847,1.4424,0.198,53
773.9,32.93,11.25,5.491,1.4676,0.198,53
774.1,33.89,10.74,5.155,1.5127,0.198,53
774.3,34.53,12.53,4.8,1.5375,0.198,53
774.5,34.85,15.6,4.546,1.5709,0.198,53
774.7,35.48,19.95,4.374,1.6116,0.2,53
774.9,36.12,24.3,4.428,1.691,0.2,53
775.1,38.04,30.69,4.63,1.7491,0.2,53
775.3,42.2,37.34,4.812,1.8112,0.197,53
775.5,45.39,46.03,5.042,1.9289,0.197,53
775.7,50.83,52.68,5.375,1.943,0.198,53
775.9,57.22,58.56,5.654,2.0186,0.198,53
776.1,59.46,60.1,5.807,2.0745,0.198,53
776.3,66.81,54.47,6.038,2.1172,0.198,53
776.5,70.65,49.36,6.14,2.1258,0.198,53
776.7,71.61,38.87,6.497,2.0799,0.198,53
776.9,68.73,28.13,6.726,2.043,0.198,53
777.1,63.94,20.2,6.7,2.022,0.198,53
777.3,59.78,16.37,6.293,2.0061,0.198,53
777.5,56.26,13.3,5.935,1.9752,0.198,53
777.7,52.75,12.28,5.73,1.9204,0.198,53
777.9,49.87,12.79,5.88,1.8804,0.198,53
778.1,47.31,14.32,6.009,1.8345,0.198,53
778.3,46.03,15.35,5.884,1.7974,0.198,53
778.5,45.39,14.32,5.807,1.7587,0.2,53
778.7,46.35,13.3,5.905,1.7004,0.2,53
778.9,47.31,11.25,5.958,1.6814,0.2,53
779.1,45.71,9.21,5.708,1.6505,0.2,53
779.3,45.08,7.67,5.402,1.6469,0.2,53
779.5,43.16,6.14,5.2,1.647,0.2,53
779.7,42.2,4.86,5.24,1.6238,0.2,53
779.9,42.52,5.63,5.465,1.6075,0.2,53
780.1,46.35,3.84,5.621,1.6561,0.2,53
780.3,51.15,3.84,5.802,1.7449,0.2,53
780.5,58.18,3.84,5.975,1.8671,0.2,53
780.7,60.74,4.09,6.181,1.9598,0.2,53
780.9,59.78,3.84,6.075,2.0051,0.2,53
781.1,56.58,3.84,5.72,2.0178,0.2,53
781.3,52.11,3.84,5.044,2.0035,0.201,53
781.5,49.23,3.84,4.486,2.0095,0.201,53
781.7,46.35,4.09,4.167,2.0334,0.201,53
781.9,44.44,4.6,3.895,2.0514,0.201,53
782.1,44.12,5.11,3.884,2.0784,0.201,53
782.3,46.03,5.63,4.007,2.1254,0.201,53
782.5,46.35,5.88,4.257,2.171,0.201,53
782.7,49.23,6.14,4.418,2.1946,0.201,53
782.9,51.47,6.39,4.427,2.1817,0.201,53
783.1,53.71,6.39,4.354,2.1588,0.201,53
783.3,55.94,6.91,4.488,2.1331,0.201,53
783.5,56.58,7.16,4.718,2.1178,0.201,53
783.7,54.99,7.67,4.831,2.1027,0.201,53
783.9,52.11,8.44,4.676,2.0731,0.201,53
784.1,48.91,10.48,4.746,2.0443,0.202,53
784.3,46.99,12.53,4.921,2.0421,0.202,53
784.5,44.76,15.86,5.104,2.0731,0.202,53
784.7,43.8,21.23,5.038,2.0821,0.202,53
784.9,44.44,26.09,4.777,2.0966,0.202,53
785.1,46.99,34.27,4.548,2.0824,0.202,53
785.3,50.83,36.31,4.595,2.0586,0.202,53
785.5,56.58,30.94,4.791,1.99,0.201,53
785.7,59.14,24.81,5.203,1.9501,0.2,53
785.9,63.94,21.74,5.59,1.9459,0.2,53
786.1,67.13,17.39,6.064,2.0178,0.2,133
786.3,68.41,14.32,6.235,2.0912,0.2,133
786.5,63.94,12.28,5.983,2.1662,0.2,133
786.7,59.78,11.76,5.625,2.1786,0.2,133
786.9,56.26,12.53,5.457,2.1477,0.2,133
787.1,55.94,14.07,5.237,2.1096,0.2,53
787.3,56.9,15.86,4.921,2.0679,0.2,53
787.5,57.54,18.41,4.681,2.0381,0.2,53
787.7,56.58,20.46,4.592,1.9719,0.2,53
787.9,53.39,23.78,4.644,1.9031,0.2,53
788.1,50.19,25.06,4.882,1.8331,0.2,53
788.3,46.67,24.04,5.183,1.6691,0.2,53
788.5,43.16,20.72,5.457,1.6757,0.2,53
788.7,39.64,16.88,5.569,1.6042,0.2,53
788.9,38.68,12.02,5.324,1.567,0.2,53
789.1,38.68,11.51,5.056,1.5694,0.2,53
789.3,40.28,9.97,5.122,1.6268,0.2,53
789.5,43.16,9.97,5.255,1.6756,0.2,53
789.7,48.27,9.97,5.365,1.7177,0.2,53
789.9,53.07,9.97,5.377,1.7797,0.2,53
790.1,59.78,9.72,5.237,1.8547,0.2,53
790.3,65.85,9.21,5.166,1.942,0.2,53
790.5,70.01,8.44,5.285,2.0108,0.2,53
