DEPT,PS,PZ,GK,NGK,DS,LIT
700.0,63.3,27.62,5.729,1.771,0.198,53
700.2,59.46,31.97,6.112,1.683,0.198,53
700.4,57.22,30.94,6.342,1.625,0.198,53
700.6,54.99,28.13,6.342,1.567,0.198,53
700.8,52.43,19.18,6.368,1.533,0.198,53
701.0,50.19,14.32,6.624,1.521,0.198,53
701.2,48.27,9.97,6.803,1.548,0.198,53
701.4,46.67,8.18,6.573,1.575,0.198,53
701.6,45.39,6.39,6.7,1.61,0.198,53
701.8,45.08,5.37,6.854,1.633,0.198,53
702.0,45.71,5.37,6.496,1.648,0.198,53
702.2,46.35,6.39,6.291,1.625,0.198,53
702.4,47.31,7.93,6.394,1.606,0.198,53
702.6,47.95,9.72,6.138,1.583,0.2,53
702.8,48.27,11.0,5.703,1.617,0.2,53
703.0,47.95,11.51,5.831,1.66,0.2,53
703.2,47.31,10.74,6.189,1.752,0.2,53
703.4,46.67,9.72,6.24,1.863,0.2,53
703.6,46.35,8.44,6.445,1.928,0.2,133
703.8,46.03,8.18,6.7,1.993,0.2,133
704.0,46.67,9.46,6.726,2.055,0.2,133
704.2,47.63,12.02,6.317,2.124,0.2,133
704.4,49.23,14.32,5.959,2.151,0.198,133
704.6,51.15,17.39,5.959,2.101,0.197,133
704.8,53.07,19.18,6.215,2.035,0.197,133
705.0,53.71,18.16,6.368,1.997,0.197,53
705.2,53.39,15.86,5.933,1.982,0.198,53
705.4,52.11,13.04,5.984,2.009,0.197,53
705.6,50.83,11.0,6.266,2.039,0.197,133
705.8,50.19,9.46,6.317,2.043,0.197,133
706.0,49.55,8.44,6.521,1.974,0.198,133
706.2,49.23,8.18,6.752,1.901,0.198,53
706.4,49.87,7.93,6.573,1.817,0.2,53
706.6,50.51,7.67,6.163,1.748,0.2,53
706.8,51.47,7.67,5.754,1.686,0.2,53
707.0,52.75,6.91,5.805,1.644,0.2,53
707.2,53.71,7.42,6.01,1.602,0.2,53
707.4,54.67,6.91,6.368,1.579,0.2,53
707.6,54.03,6.65,6.521,1.591,0.198,53
707.8,53.39,5.88,6.394,1.61,0.198,53
708.0,52.43,5.37,6.036,1.637,0.198,53
708.2,51.15,4.86,5.652,1.667,0.198,53
708.4,50.83,4.6,5.268,1.694,0.198,53
708.6,51.15,4.86,5.038,1.729,0.198,53
708.8,53.07,5.11,5.14,1.763,0.198,53
709.0,56.26,5.37,5.319,1.809,0.2,53
709.2,59.78,5.11,5.166,1.859,0.202,53
709.4,63.3,5.11,4.757,1.901,0.205,53
709.6,64.57,5.37,4.782,1.932,0.207,53
709.8,62.34,6.39,5.013,1.928,0.202,53
710.0,58.5,8.69,5.013,1.913,0.201,53
710.2,56.58,8.69,5.115,1.897,0.201,53
710.4,56.26,10.74,5.268,1.89,0.198,53
710.6,57.22,11.25,5.166,1.905,0.198,53
710.8,55.94,11.0,5.447,1.932,0.198,53
711.0,54.67,9.72,5.575,1.978,0.198,133
711.2,52.11,8.44,5.805,2.024,0.198,133
711.4,50.83,8.18,5.882,2.082,0.198,133
711.6,50.83,8.44,5.703,2.131,0.198,133
711.8,51.15,8.95,5.447,2.166,0.198,133
712.0,51.47,8.95,5.192,2.193,0.198,133
712.2,51.79,8.95,5.115,2.174,0.198,133
712.4,51.15,9.46,5.268,2.147,0.198,133
712.6,51.15,11.0,5.575,2.143,0.2,133
712.8,51.47,14.07,5.729,2.174,0.2,133
713.0,51.79,19.69,5.601,2.216,0.2,133
713.2,51.79,25.83,5.703,2.262,0.2,133
713.4,51.79,31.2,5.831,2.304,0.2,133
713.6,51.79,33.76,5.524,2.319,0.2,133
713.8,52.75,30.43,5.14,2.289,0.2,133
714.0,54.99,31.2,4.757,2.254,0.2,133
714.2,59.14,28.9,4.859,2.197,0.2,133
714.4,61.38,26.85,5.115,2.166,0.201,133
