DEPT,PS,PZ,GK,NGK,DS,LIT
700.0,80.3,8.84,3.657,1.928,0.22,53
700.2,76.72,9.47,3.03,1.9335,0.219,53
700.4,72.89,9.69,2.711,1.8855,0.22,53
700.6,67.77,9.34,2.276,1.8415,0.22,53
700.8,62.66,8.54,2.2,1.7935,0.219,53
701.0,58.05,7.59,2.213,1.79,0.22,53
701.2,54.73,6.71,2.404,1.7035,0.219,53
701.4,52.68,6.04,2.685,1.6165,0.219,53
701.6,52.68,5.66,2.839,1.502,0.22,53
701.8,53.96,5.67,2.813,1.4365,0.22,53
702.0,56.52,6.13,2.635,1.3965,0.219,53
702.2,58.56,6.87,2.686,1.462,0.219,53
702.4,61.12,7.72,2.595,1.563,0.219,53
702.6,62.66,8.6,2.686,1.7125,0.218,53
702.8,63.42,9.52,2.826,1.8495,0.218,53
703.0,61.89,10.53,3.222,1.9335,0.219,24
703.2,59.08,11.57,3.76,2.0085,0.218,24
703.4,56.01,12.54,4.36,2.035,0.218,24
703.6,54.22,13.26,4.667,1.966,0.218,24
703.8,52.94,13.61,4.923,1.8985,0.218,24
704.0,52.43,13.54,5.089,1.874,0.218,53
704.2,52.43,13.3,4.948,1.903,0.218,53
704.4,52.68,13.1,4.668,1.945,0.217,53
704.6,53.19,13.19,4.36,2.0085,0.217,53
704.8,53.45,13.61,4.245,1.9925,0.218,53
705.0,54.22,14.2,4.015,2.033,0.218,53
705.2,54.99,14.78,3.811,2.0235,0.218,53
705.4,55.5,15.2,3.901,1.993,0.218,53
705.6,56.01,15.34,3.925,2.0425,0.218,53
705.8,56.52,15.16,3.99,2.087,0.219,133
706.0,56.78,14.72,3.849,2.133,0.219,133
706.2,57.03,14.2,3.375,2.1215,0.219,133
706.4,57.29,13.63,3.146,2.089,0.218,53
706.6,57.8,13.08,3.107,2.0945,0.218,53
706.8,58.05,12.63,3.401,2.041,0.218,53
707.0,58.05,12.25,3.312,1.9435,0.219,53
707.2,58.56,11.87,3.196,1.882,0.22,53
707.4,58.31,11.51,3.107,1.864,0.22,53
707.6,57.54,11.15,3.171,1.868,0.22,53
707.8,56.78,10.8,2.954,1.914,0.218,53
708.0,56.26,10.46,3.005,1.93,0.218,53
708.2,55.75,10.2,2.89,1.9045,0.217,53
708.4,56.26,10.01,2.724,1.868,0.216,53
708.6,57.54,9.92,2.902,1.8705,0.217,53
708.8,58.82,9.96,3.095,1.8795,0.219,53
709.0,61.63,10.1,2.852,1.924,0.22,53
709.2,62.66,10.34,2.481,1.966,0.221,53
709.4,64.96,10.69,2.225,2.0125,0.221,53
709.6,66.75,11.13,2.314,2.047,0.22,53
709.8,68.28,11.66,2.314,2.0505,0.22,53
710.0,70.07,12.16,2.25,2.0775,0.219,53
710.2,72.12,12.59,2.225,2.1175,0.22,53
710.4,73.14,12.78,2.685,2.0125,0.22,53
710.6,74.42,12.89,2.979,1.918,0.22,53
710.8,75.19,13.07,3.005,1.838,0.22,53
711.0,74.42,13.34,2.762,1.7935,0.22,53
711.2,72.89,13.77,2.813,1.732,0.22,53
711.4,69.56,14.41,3.017,1.6685,0.221,53
711.6,65.98,15.39,3.516,1.6555,0.222,53
711.8,62.91,16.8,3.836,1.694,0.224,53
712.0,60.35,18.7,3.491,1.828,0.221,53
712.2,56.78,21.12,2.865,1.9775,0.218,53
712.4,56.01,23.63,2.635,2.066,0.218,53
712.6,54.22,25.74,2.25,2.062,0.218,53
712.8,53.19,27.22,2.122,1.9375,0.218,53
713.0,52.17,28.13,2.122,1.853,0.217,53
713.2,50.89,28.76,2.25,1.8245,0.216,53
713.4,49.36,29.24,2.327,1.87,0.218,53
713.6,46.03,29.37,2.213,1.893,0.219,53
713.8,41.94,28.77,2.238,1.96,0.218,53
714.0,38.36,27.21,2.008,1.945,0.218,53
714.2,35.04,24.97,1.995,1.9165,0.218,53
714.4,32.48,22.49,2.213,1.7165,0.218,53
714.6,30.43,20.11,2.468,1.592,0.217,53
714.8,29.16,18.05,2.749,1.4695,0.218,53
715.0,28.13,16.22,2.941,1.3715,0.218,53
715.2,28.39,14.64,2.826,1.304,0.218,53
715.4,29.41,13.28,2.762,1.3235,0.217,53
715.6,30.18,12.16,2.941,1.343,0.217,53
715.8,31.97,11.34,2.915,1.36,0.216,53
716.0,34.01,10.99,2.724,1.3755,0.216,53
716.2,35.8,11.39,2.672,1.383,0.216,53
716.4,37.34,13.0,2.737,1.4405,0.216,53
716.6,38.36,16.03,2.583,1.5575,0.215,53
716.8,39.13,19.88,2.557,1.575,0.215,53
717.0,39.64,23.28,2.48,1.6245,0.214,53
717.2,39.13,25.98,2.455,1.671,0.215,53
717.4,38.11,27.89,2.839,1.747,0.216,53
717.6,37.08,28.86,2.992,1.7915,0.216,53
717.8,35.55,28.64,2.992,1.7995,0.216,53
718.0,34.27,27.4,2.916,1.7185,0.215,53
718.2,32.99,25.44,2.762,1.617,0.215,53
718.4,33.25,23.09,2.621,1.4985,0.215,53
718.6,35.04,20.57,2.66,1.4,0.216,53
718.8,35.55,18.03,2.596,1.3195,0.215,53
719.0,37.59,15.76,2.724,1.2545,0.215,53
719.2,39.38,13.99,2.941,1.218,0.215,53
719.4,41.17,12.79,2.839,1.2505,0.215,53
719.6,42.2,12.0,2.775,1.306,0.215,53
719.8,43.73,11.29,2.698,1.333,0.216,53
720.0,43.73,10.5,2.724,1.358,0.218,53
720.2,43.73,9.62,2.724,1.3985,0.219,53
720.4,43.48,8.71,2.647,1.3905,0.219,53
720.6,42.97,7.81,2.75,1.4255,0.219,53
720.8,42.97,6.99,2.916,1.416,0.219,53
721.0,42.71,6.32,2.724,1.377,0.219,53
721.2,42.97,5.68,2.43,1.364,0.22,53
721.4,43.48,5.07,2.417,1.2945,0.219,53
721.6,43.73,4.53,2.34,1.2675,0.219,53
721.8,43.22,4.11,2.456,1.2715,0.219,53
722.0,42.71,3.9,2.519,1.258,0.219,53
722.2,41.69,3.95,2.864,1.2795,0.22,53
722.4,39.64,4.25,3.273,1.3155,0.22,53
722.6,38.62,4.66,3.427,1.358,0.219,53
722.8,37.08,5.09,3.26,1.3635,0.22,53
723.0,36.31,5.45,2.89,1.3465,0.22,53
723.2,37.08,5.66,2.544,1.333,0.22,53
723.4,38.62,5.63,2.212,1.293,0.218,53
723.6,40.92,5.37,2.187,1.2715,0.219,53
723.8,44.24,4.99,1.969,1.289,0.219,53
