DEPT,PS,PZ,GK,NGK,DS,LIT
700.1,36.76,10.0,8.619,1.7204,0.206,53
700.3,36.76,11.5,8.67,1.7032,0.204,53
700.5,37.08,12.0,8.746,1.6959,0.204,53
700.7,37.4,12.5,8.695,1.7064,0.202,53
700.9,37.72,12.5,8.593,1.7238,0.202,53
701.1,37.72,12.3,8.44,1.7418,0.202,53
701.3,38.04,11.8,8.312,1.752,0.202,53
701.5,38.04,11.8,8.286,1.7469,0.204,53
701.7,38.36,12.0,8.235,1.7461,0.204,53
701.9,38.04,12.8,8.158,1.7506,0.204,53
702.1,38.36,14.1,8.056,1.7813,0.204,53
702.3,38.68,15.3,8.03,1.8052,0.204,53
702.5,39.64,16.6,8.056,1.8028,0.201,53
702.7,40.92,17.9,8.107,1.7835,0.202,53
702.9,43.48,18.4,8.184,1.7569,0.201,53
703.1,43.8,16.6,8.337,1.7382,0.201,53
703.3,45.39,15.6,8.414,1.7261,0.202,53
703.5,45.71,13.8,8.26,1.705,0.202,53
703.7,45.39,11.0,8.081,1.6872,0.204,53
703.9,44.76,9.7,7.928,1.6701,0.204,53
704.1,43.8,8.2,7.698,1.6686,0.204,53
704.3,42.84,7.4,7.596,1.6844,0.204,53
704.5,42.2,8.4,7.672,1.703,0.204,53
704.7,40.92,10.2,7.775,1.7246,0.202,53
704.9,40.28,12.3,7.902,1.744,0.202,53
705.1,40.28,14.3,7.493,1.749,0.201,53
705.3,40.6,15.6,7.238,1.7346,0.2,53
705.5,40.92,15.9,7.34,1.7196,0.2,53
705.7,41.56,15.3,7.544,1.7196,0.2,53
705.9,43.16,14.3,7.902,1.734,0.2,53
706.1,46.67,12.8,8.184,1.7499,0.2,53
706.3,49.23,11.5,8.44,1.767,0.201,53
706.5,51.15,11.0,8.312,1.7626,0.201,53
706.7,54.67,9.5,8.209,1.7314,0.202,53
706.9,57.22,8.7,8.235,1.7021,0.204,53
707.1,57.86,7.4,8.363,1.6819,0.204,53
707.3,58.5,6.6,8.03,1.685,0.204,53
707.5,57.86,6.1,7.621,1.7098,0.204,53
707.7,59.14,5.9,7.34,1.7442,0.202,53
707.9,61.06,6.6,7.212,1.7657,0.202,53
708.1,62.02,8.4,7.365,1.7824,0.201,53
708.3,59.78,11.0,7.544,1.7761,0.201,53
708.5,56.9,14.6,7.698,1.7683,0.202,53
708.7,54.03,18.7,7.8,1.7707,0.202,53
708.9,51.47,23.3,7.723,1.7442,0.204,53
709.1,49.55,27.4,7.596,1.7055,0.204,53
709.3,47.31,30.4,7.289,1.6613,0.204,53
709.5,46.35,29.7,7.135,1.6153,0.204,53
709.7,45.08,26.9,6.982,1.5861,0.204,53
709.9,43.8,23.3,7.007,1.6086,0.202,53
710.1,42.84,23.3,7.11,1.6359,0.202,53
710.3,41.56,25.1,7.135,1.6758,0.201,53
710.5,40.92,25.1,7.11,1.699,0.201,53
710.7,40.28,27.9,6.982,1.6824,0.201,53
710.9,39.64,30.4,6.982,1.6389,0.201,53
711.1,39.32,31.5,7.084,1.5884,0.202,53
711.3,38.68,30.9,7.058,1.5352,0.202,53
711.5,38.68,28.9,7.058,1.4915,0.202,53
711.7,38.36,25.1,7.007,1.4338,0.202,53
711.9,38.04,21.0,7.058,1.3867,0.204,53
712.1,38.04,17.1,7.135,1.3908,0.204,53
712.3,37.72,13.0,7.161,1.4071,0.204,53
712.5,37.72,10.0,7.033,1.4265,0.202,53
712.7,37.72,7.7,6.931,1.4283,0.202,53
712.9,37.4,5.4,7.007,1.4196,0.201,53
713.1,37.4,4.1,6.956,1.4111,0.201,53
713.3,37.4,3.3,6.803,1.4031,0.2,53
713.5,37.08,3.8,6.777,1.3995,0.2,53
713.7,37.08,5.1,6.931,1.4064,0.2,53
713.9,37.08,6.6,7.11,1.4164,0.2,53
714.1,37.08,9.0,7.212,1.425,0.2,53
714.3,37.08,9.5,7.161,1.4248,0.2,53
714.5,37.08,9.2,7.186,1.4322,0.2,53
714.7,37.08,7.9,7.391,1.4462,0.2,53
714.9,37.08,6.9,7.519,1.4709,0.2,53
715.1,37.08,6.1,7.493,1.4929,0.2,53
715.3,37.08,4.6,7.365,1.5137,0.201,53
715.5,37.4,3.8,7.135,1.5362,0.201,53
715.7,37.4,3.3,6.982,1.5592,0.201,53
715.9,37.4,3.1,6.905,1.5845,0.201,53
716.1,37.4,4.9,7.033,1.6022,0.201,53
716.3,37.72,7.2,7.135,1.6195,0.202,53
716.5,38.04,9.5,7.263,1.6375,0.202,53
716.7,38.04,12.3,7.365,1.6555,0.202,53
716.9,38.36,14.8,7.289,1.675,0.201,53
717.1,38.68,17.9,7.365,1.6838,0.201,53
717.3,39.0,20.5,7.468,1.6835,0.2,53
717.5,39.32,22.8,7.672,1.6868,0.2,53
717.7,39.64,24.6,7.672,1.697,0.2,53
717.9,39.64,25.3,7.57,1.6985,0.2,53
718.1,39.64,25.8,7.493,1.6905,0.2,53
718.3,39.64,25.6,7.468,1.6722,0.2,53
718.5,39.32,25.3,7.468,1.6745,0.2,53
718.7,39.0,25.1,7.544,1.677,0.2,53
718.9,38.36,25.1,7.621,1.6717,0.2,53
719.1,38.36,25.1,7.749,1.6579,0.2,53
719.3,38.04,23.3,7.826,1.6676,0.2,53
719.5,38.04,22.0,7.979,1.6879,0.2,53
719.7,38.04,20.7,8.056,1.7066,0.2,53
719.9,38.36,19.2,8.158,1.7224,0.2,53
720.1,39.0,17.4,8.158,1.7222,0.2,53
720.3,39.32,16.6,8.107,1.7111,0.201,53
720.5,39.64,15.1,8.005,1.6928,0.201,53
720.7,39.96,14.1,8.005,1.6971,0.201,53
720.9,39.96,13.0,8.133,1.7023,0.201,53
721.1,39.96,12.5,8.286,1.7129,0.201,53
721.3,39.32,12.5,8.388,1.7274,0.201,53
721.5,39.32,13.0,8.491,1.7386,0.201,53
721.7,39.96,13.0,8.465,1.7532,0.202,53
721.9,40.6,12.8,8.567,1.7707,0.202,53
722.1,42.2,11.5,8.798,1.7842,0.202,53
722.3,42.2,10.0,9.002,1.7916,0.202,53
722.5,42.84,7.9,8.9,1.7594,0.201,53
722.7,42.52,6.6,8.593,1.7115,0.201,53
722.9,42.52,4.9,8.235,1.7176,0.201,53
723.1,42.84,4.1,7.928,1.749,0.202,53
723.3,45.39,3.8,7.672,1.7884,0.202,53
723.5,48.27,3.8,7.519,1.8233,0.202,53
723.7,51.15,4.1,7.519,1.8502,0.202,53
723.9,54.99,3.8,7.544,1.8429,0.202,53
724.1,58.5,3.6,7.468,1.8267,0.202,53
724.3,61.7,4.3,7.442,1.8391,0.204,53
724.5,63.62,4.9,7.596,1.844,0.204,53
724.7,64.57,6.1,7.826,1.824,0.204,53
724.9,65.21,7.2,8.03,1.7726,0.204,53
725.1,66.49,7.9,8.235,1.7235,0.204,53
725.3,64.57,7.4,8.388,1.7207,0.205,53
725.5,61.06,6.6,8.619,1.7469,0.205,53
725.7,55.94,5.4,8.695,1.7741,0.204,53
725.9,51.79,4.9,8.849,1.8055,0.204,53
726.1,48.91,5.1,9.028,1.837,0.204,53
726.3,47.31,5.4,9.156,1.8672,0.204,53
726.5,50.51,6.1,9.386,1.9019,0.202,53
726.7,54.99,6.9,9.59,1.9402,0.202,53
726.9,59.78,7.4,9.744,1.9785,0.202,53
727.1,63.94,7.4,9.462,2.0188,0.202,53
727.3,66.17,7.9,9.002,2.0435,0.204,53
727.5,64.57,7.9,9.028,2.0379,0.204,53
727.7,61.7,7.9,9.079,2.0435,0.204,53
727.9,57.86,7.9,9.13,2.0616,0.204,53
728.1,54.67,8.7,9.053,2.0784,0.205,53
728.3,51.47,9.5,8.823,2.0719,0.205,53
728.5,48.91,9.7,8.619,2.0667,0.204,53
728.7,47.63,9.2,8.337,2.0699,0.204,53
728.9,46.67,8.4,8.209,2.0554,0.204,53
729.1,47.31,7.4,8.005,2.0346,0.204,53
729.3,48.27,7.2,7.902,2.0261,0.204,53
729.5,49.55,7.4,7.851,2.0391,0.204,53
729.7,51.15,8.7,7.851,2.0313,0.204,53
729.9,52.43,10.2,7.979,2.0061,0.204,53
730.1,52.75,11.0,8.107,1.9757,0.204,53
730.3,53.39,11.5,8.235,1.9572,0.205,53
730.5,52.11,11.8,8.363,1.9438,0.205,53
730.7,51.79,10.7,8.286,1.9512,0.205,53
730.9,51.47,9.5,8.107,1.976,0.205,53
731.1,52.11,7.9,7.928,1.9922,0.205,53
731.3,53.71,7.2,7.698,1.9864,0.206,53
731.5,54.67,6.4,7.723,1.9722,0.206,53
731.7,55.62,6.4,7.775,1.9729,0.206,53
731.9,55.94,6.4,7.826,1.9819,0.206,53
732.1,55.62,6.4,7.877,1.9982,0.206,53
732.3,56.9,6.9,7.698,2.025,0.207,53
732.5,58.5,8.2,7.493,2.0431,0.207,53
732.7,61.7,10.7,7.314,2.0725,0.204,53
732.9,63.62,17.4,7.084,2.0995,0.204,53
733.1,64.89,22.2,6.905,2.1271,0.204,53
733.3,63.94,27.1,6.752,2.1449,0.204,53
733.5,62.98,28.1,6.854,2.1377,0.204,53
733.7,62.34,24.6,6.956,2.1128,0.204,53
733.9,62.98,18.7,7.135,2.0824,0.205,53
734.1,64.25,11.8,7.238,2.0435,0.205,53
734.3,64.89,9.2,7.365,2.0049,0.205,53
734.5,64.57,9.7,7.468,1.9645,0.206,53
734.7,63.62,10.2,7.57,1.9401,0.206,53
734.9,62.98,10.2,7.647,1.9503,0.206,53
735.1,61.7,10.2,7.493,1.9802,0.206,53
735.3,61.38,9.7,7.365,2.0156,0.206,53
735.5,60.1,10.2,6.854,2.0572,0.206,53
735.7,60.1,12.8,6.905,2.0907,0.206,53
735.9,59.46,17.1,6.905,2.1129,0.206,53
736.1,58.5,23.0,6.982,2.109,0.206,53
736.3,58.82,28.6,6.854,2.0727,0.206,53
736.5,61.7,34.3,6.675,2.0145,0.206,53
736.7,65.53,39.1,6.47,1.9652,0.206,53
736.9,70.65,42.5,6.291,1.9192,0.205,53
737.1,74.49,35.3,6.215,1.8716,0.205,53
737.3,72.25,27.4,6.24,1.8268,0.205,53
737.5,69.37,19.7,6.368,1.7667,0.205,53
737.7,64.57,18.4,6.47,1.6682,0.205,53
737.9,57.54,20.5,6.624,1.5877,0.205,53
738.1,57.22,22.5,6.675,1.4992,0.204,53
738.3,53.39,26.9,6.675,1.4497,0.204,53
738.5,50.19,29.2,6.624,1.4131,0.204,53
738.7,46.35,28.4,6.624,1.4293,0.204,53
738.9,44.12,23.0,6.7,1.4406,0.204,53
739.1,41.88,17.6,6.803,1.4589,0.204,53
739.3,40.92,12.3,6.982,1.4856,0.204,53
739.5,39.32,9.0,7.186,1.5136,0.202,53
739.7,39.0,6.4,7.289,1.5392,0.202,53
739.9,38.68,5.4,7.417,1.565,0.202,53
740.1,38.36,4.6,7.544,1.595,0.202,53
740.3,38.36,5.1,7.57,1.6212,0.202,53
740.5,38.68,5.1,7.417,1.6446,0.202,53
740.7,39.0,4.9,7.186,1.6676,0.201,53
740.9,39.32,5.1,6.982,1.6971,0.202,53
741.1,39.96,6.4,6.803,1.7322,0.202,53
741.3,39.96,7.9,6.905,1.7641,0.202,53
741.5,39.96,12.3,7.161,1.7943,0.201,53
741.7,39.96,22.5,7.314,1.8251,0.201,53
741.9,39.96,42.5,7.519,1.8537,0.201,53
742.1,39.64,51.7,7.698,1.8817,0.201,53
