DEPT,PS,PZ,GK,NGK,DS,LIT
730.0,153.76,61.38,2.046,1.51,0.208,53
730.2,155.99,53.71,2.148,1.475,0.208,53
730.4,158.23,45.71,2.174,1.383,0.208,53
730.6,159.51,38.04,2.148,1.306,0.208,53
730.8,159.19,29.73,2.072,1.25,0.208,53
731.0,157.91,21.42,2.174,1.26,0.209,53
731.2,156.63,19.18,2.455,1.28,0.21,53
731.4,157.91,19.5,2.813,1.347,0.21,53
731.6,163.03,22.06,2.992,1.434,0.21,53
731.8,168.78,24.93,2.915,1.567,0.21,53
732.0,174.85,29.73,2.813,1.787,0.209,89
732.2,181.25,34.21,2.992,2.232,0.211,89
732.4,186.36,38.68,3.274,2.4,0.211,89
732.6,191.48,42.84,3.401,2.36,0.211,53
732.8,194.67,48.27,3.683,2.267,0.211,53
733.0,198.19,36.76,4.194,2.17,0.211,53
733.2,200.75,22.7,4.68,1.996,0.213,53
733.4,201.39,21.29,4.91,1.776,0.214,53
733.6,201.07,12.02,4.757,1.603,0.214,53
733.8,200.11,5.75,4.271,1.541,0.215,53
734.0,199.79,3.58,3.99,1.546,0.213,53
734.2,198.83,2.94,4.117,1.603,0.212,53
734.4,198.19,2.81,4.322,1.684,0.21,53
734.6,197.55,3.07,4.194,1.782,0.21,53
734.8,197.23,3.77,3.862,1.894,0.209,53
735.0,196.91,4.73,3.427,2.001,0.208,53
735.2,197.87,5.82,3.197,2.078,0.209,53
735.4,199.47,6.59,3.401,2.155,0.208,53
735.6,201.07,6.84,3.606,2.211,0.208,53
735.8,203.31,7.99,3.606,2.191,0.207,53
736.0,206.18,8.76,3.657,2.15,0.207,53
736.2,209.38,8.82,3.734,2.109,0.207,53
736.4,212.26,8.89,3.811,2.099,0.207,53
736.6,216.09,8.89,3.811,2.134,0.208,53
736.8,218.33,9.46,3.606,2.175,0.209,53
737.0,220.25,9.91,2.992,2.145,0.208,53
737.2,220.89,10.04,2.506,2.088,0.209,53
737.4,218.33,10.04,2.148,2.027,0.208,53
737.6,213.54,10.23,1.995,1.991,0.209,53
737.8,205.22,10.1,2.02,1.991,0.208,53
738.0,193.4,10.29,2.072,1.981,0.208,53
738.2,187.32,10.29,2.148,1.935,0.208,53
738.4,180.61,9.91,2.046,1.884,0.208,53
738.6,178.37,9.59,1.918,1.94,0.208,53
738.8,180.93,9.34,1.739,2.032,0.208,53
739.0,185.4,10.23,1.841,2.134,0.208,53
739.2,189.24,13.49,2.072,2.196,0.208,53
739.4,194.36,17.9,2.353,2.175,0.208,53
739.6,201.07,20.08,2.634,2.191,0.208,53
739.8,202.03,18.22,2.506,2.155,0.208,53
740.0,199.79,15.28,2.148,2.068,0.209,53
740.2,193.4,12.98,1.867,2.012,0.208,53
740.4,186.04,12.4,1.534,2.007,0.207,53
740.6,179.33,13.62,1.33,2.032,0.208,53
740.8,173.26,15.47,1.407,1.991,0.208,53
741.0,168.46,17.39,1.586,1.915,0.208,53
741.2,163.67,18.54,1.739,1.848,0.208,53
741.4,160.79,18.35,1.765,1.822,0.208,53
741.6,161.75,16.62,1.713,1.868,0.208,53
741.8,166.22,14.96,1.816,1.868,0.207,53
742.0,171.66,14.45,2.072,1.915,0.207,53
742.2,177.41,15.22,2.251,2.001,0.207,53
742.4,182.53,15.86,2.506,2.022,0.207,53
742.6,185.72,14.39,2.685,2.022,0.207,53
742.8,187.0,12.4,2.557,1.991,0.209,53
743.0,185.4,10.29,2.327,2.053,0.209,53
743.2,182.85,9.27,2.097,2.022,0.209,53
743.4,179.65,9.08,1.969,1.986,0.209,53
743.6,179.65,9.21,1.995,1.976,0.209,53
743.8,181.89,9.02,2.02,1.971,0.209,53
744.0,184.45,8.5,1.995,1.955,0.21,53
744.2,188.28,7.93,1.944,2.017,0.21,53
744.4,191.48,7.54,2.199,2.114,0.21,53
744.6,193.4,7.61,2.839,2.232,0.208,89
744.8,195.63,8.18,3.12,2.252,0.208,89
745.0,198.51,9.59,3.146,2.354,0.208,89
745.2,200.43,11.83,3.171,2.349,0.208,89
745.4,202.99,15.66,3.453,2.344,0.208,53
745.6,205.22,20.2,3.708,2.267,0.208,53
745.8,207.46,20.46,4.092,2.134,0.208,53
746.0,209.7,17.71,4.092,2.012,0.208,53
