DEPT,PS,PZ,GK,NGK,DS,LIT
761.0,151.4,18.67,1.71,2.192,0.2168,53
761.2,151.08,20.33,1.74,2.217,0.2164,53
761.4,151.85,25.45,1.84,2.171,0.2152,53
761.6,153.45,36.03,1.84,2.125,0.214,53
761.8,155.3,55.3,1.76,2.222,0.2138,53
762.0,157.54,62.34,1.92,2.32,0.2144,53
762.2,159.46,61.06,1.89,2.427,0.2162,53
762.4,159.07,49.87,1.76,2.504,0.218,53
762.6,155.81,48.59,2.07,2.534,0.219,89
762.8,150.63,39.96,2.51,2.504,0.2196,89
763.0,145.26,34.53,2.53,2.32,0.2208,89
763.2,140.53,35.48,2.61,2.161,0.221,89
763.4,136.57,38.36,2.48,2.069,0.2204,89
763.6,132.22,40.6,2.15,2.12,0.2208,89
763.8,128.06,41.56,2.1,2.233,0.2214,89
764.0,124.42,35.46,2.02,2.299,0.2204,89
764.2,121.93,29.67,2.38,2.146,0.2182,89
764.4,119.75,22.38,2.74,1.91,0.2162,89
764.6,118.28,17.2,2.76,1.578,0.215,53
764.8,117.83,12.15,2.94,1.378,0.2142,53
765.0,118.41,9.14,3.25,1.322,0.2132,53
765.2,119.24,7.29,3.33,1.312,0.2124,53
765.4,119.69,6.01,3.04,1.292,0.2126,53
765.6,119.56,5.69,3.02,1.246,0.2134,53
765.8,119.11,5.82,3.25,1.235,0.214,53
766.0,118.86,7.61,3.27,1.23,0.213,53
766.2,119.18,10.74,3.3,1.271,0.2106,53
766.4,120.45,11.7,2.86,1.358,0.2088,53
766.6,123.01,12.28,2.89,1.394,0.2094,53
766.8,128.13,13.36,3.22,1.389,0.2122,53
767.0,133.37,20.01,3.09,1.404,0.2152,53
767.2,138.1,28.13,3.27,1.465,0.2176,53
767.4,140.79,25.64,3.43,1.614,0.2192,53
767.6,142.32,22.83,3.4,1.793,0.2194,53
767.8,141.11,19.95,3.61,1.962,0.2196,53
768.0,137.27,20.14,3.5,2.059,0.2192,53
768.2,132.79,21.42,3.66,2.11,0.2178,53
768.4,129.34,22.5,3.56,2.033,0.2154,53
768.6,127.87,23.21,3.58,1.91,0.2138,53
768.8,128.7,15.41,3.45,1.752,0.2138,53
769.0,130.81,12.79,3.2,1.573,0.2148,53
769.2,134.2,10.87,3.09,1.537,0.2162,53
769.4,138.23,9.27,3.2,1.552,0.2176,53
769.6,142.58,8.95,3.27,1.614,0.2188,53
769.8,146.8,8.76,3.48,1.731,0.2196,53
770.0,151.02,7.54,3.56,1.849,0.2196,53
770.2,154.6,6.2,3.27,1.931,0.2192,53
770.4,157.47,5.05,3.33,1.946,0.219,53
770.6,159.39,4.41,3.33,1.962,0.219,53
770.8,161.12,4.6,3.07,1.977,0.219,53
771.0,162.4,4.86,2.97,1.967,0.219,53
771.2,162.84,5.11,3.07,1.921,0.2188,53
771.4,161.95,5.37,3.22,1.88,0.2188,53
771.6,159.01,5.43,3.17,1.89,0.219,53
771.8,153.64,5.24,2.97,1.997,0.2204,53
772.0,146.54,4.8,3.17,2.095,0.2218,53
772.2,140.27,4.22,3.4,2.069,0.2226,53
772.4,136.12,3.58,3.4,1.921,0.223,53
772.6,134.84,3.33,3.12,1.783,0.2234,53
772.8,135.42,3.13,2.61,1.619,0.2242,53
773.0,136.69,2.94,2.2,1.511,0.225,53
773.2,138.04,2.88,1.94,1.491,0.2246,53
773.4,138.87,3.13,1.92,1.537,0.2228,53
773.6,139.38,3.39,2.12,1.675,0.2204,53
773.8,139.76,3.84,2.45,1.813,0.2186,53
774.0,140.15,4.09,2.51,1.936,0.2182,53
774.2,139.83,4.35,2.51,2.049,0.2186,53
774.4,138.1,4.99,2.48,2.12,0.219,53
774.6,135.48,5.95,2.71,2.146,0.219,53
774.8,133.18,7.86,2.68,2.105,0.2188,53
775.0,131.84,10.81,2.45,2.054,0.2184,53
775.2,132.47,12.66,2.51,2.054,0.218,53
775.4,135.61,15.47,2.66,2.079,0.2182,53
775.6,140.72,20.84,2.79,2.166,0.2186,53
775.8,146.09,24.1,2.53,2.248,0.219,53
776.0,150.82,27.68,2.33,2.289,0.2192,53
776.2,154.6,27.62,2.28,2.345,0.2204,53
776.4,157.86,25.19,2.43,2.345,0.2226,53
